organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50
aA0u9LbIY9e,Makindu Sub County Hospital,12455,,,11,,11
aQqBjPqT0jU,Makongeni Dispensary,18432,,,7,3,9
Bhr4Rlyp4dt,Makongeni Level 4,19858,,1,4,,5
PkLRGRtOY62,Maktau Health Centre,11549,,,2,,2
YgHyNJOU8hs,Makueni County Referral Hospital,12457,,,8,,8
WHog7fSSmKt,Makunga Sub-County Hospital,15991,,1,4,3,8
OochC7lpTbO,Makutano Health Centre,15992,,,1,2,3
ZHKA6zNeUk2,Makuyu Health Centre,10674,,,8,,8
a0qvQ3FrCD8,Malaba Health center,15993,,,5,2,7
sS7IzDF2Tm1,Malaha Dispensary,17150,,,1,,1
HAD4hll0ALY,Malakisi Health Centre,15994,,,3,,3
LG4e3brI9u7,Malanga Health Centre,13760,,,10,,10
pxlVNltvIME,Malava County Hospital,15996,,,8,4,12
J7EO2t0VKCs,Malela Level 4 Hospital,13761,,,4,,4
qqhDXan6YY4,Maliera SDA Dispensary,20013,,,1,,1
vzRh9ON9ZsM,Malindi Sub-County Hospital,11555,,,17,6,23
CQFAYq3arhb,Mama Anns Odede Community Health Centre,18912,,1,3,,4
EmMu340uBVZ,Mama Lucy Kibaki Hospital (Embakasi),17411,,6,18,10,34
ZSjZcx0lxrz,Mama Plister Blair Health Centre,17121,,,17,,17
O8cO0JfUo2l,Mambrui Dispensary,11559,,,2,,2
S0pNUj8UTsw,Manda Dispensary,17681,,,1,,1
jqrGlRD2MbV,Mandera County Refferal Hospital,13402,,,2,,2
gO4F9cwk5WB,Manga Sub County Hospital,13766,,,2,,2
KysFcG0IQYZ,Manunga Health Centre,10681,,,2,,2
Jq3sWm3tMJy,Manyala Sub County Hospital,15999,,,7,2,9
Nkbsp23UkM3,Manyatta (SDA) Dispensary,13769,,,6,1,7
EZCHSlG09NE,Manyuanda Health Centre (Rarieda),13771,,1,14,,15
gzocEzWT73W,Manyuanda Sub county Hospital,13770,,,22,,22
kKVNAgtxsgI,Marafa Sub County Hospital,11562,,,3,,3
WMjR7Dtk7aj,Maragua Sub County Hospital,10686,,,16,2,18
dsaHh6LxrRQ,Maram Health Center,16258,,,33,1,34
Jm2yFzjQT78,Marenyo Health Centre,13773,,,10,,10
xFk3GI5SCCl,Marereni Dispensary,11563,,,4,1,5
TXorfZmnbmS,Maria Immaculate Hospital Lavington,13062,,,2,,2
mITAGtWnWEK,Mariakani Sub County Hospital,11566,Along mombasa -Nairobi highway past Mazeras from Mombasa,,16,,16
vgvLvqu6Xfc,Marigat Catholic Mission Hospital,15137,,,,1,1
TGSQz8SdKu1,Marigat Sub County Referral Hospital,15138,,,4,,4
tLVjdEE6IX2,Marimanti Sub County Hospital,12795,,,3,,3
t0xZjkBr5NR,Marindi Sub County Hospital,13777,,,28,7,35
gAKWWlzco2t,Maringo Clinic,13069,Operational,,,,4
LGgFPRuWpws,Mariwa Health Centre,13778,,,7,,7
FzCzyHnlX47,Marurui Health Centre,13071,,6,3,1,4
hMj9Y1CRfLV,Mary Help of The Sick Hospital,10698,,1,3,,4
gQOARcEQVeO,Mary Immaculate Hospital (Nyeri North),10700,,,2,,2
sSoQItUt4xV,Masaba Hospital Kisumu,18414,,,2,1,3
Kp2Kfseofdd,Masaba Sub-County  Hospital,13678,,1,6,2,9
ltcUO2beWif,Masala Dispensary,13780,,1,2,,3
iGeBkKapn5s,Masendebale Dispensary,17157,,,1,1,2
gEEJqBQ2vqX,Maseno Mission Hospital,13781,,,15,,15
PjStrCd2jns,Mashambani Health Centre,17111,,,1,,1
RFhDgy6Fjq4,Mashuuru Sub County Hospital,15150,,,2,,2
eVIeDQ3j9kW,Masii Health Centre,12475,,,6,,6
dTKM4VbCSvA,Masimba Sub-County Hospital,13783,,,1,,1
QicfgXP0eIq,Masinga Sub County Hospital,12476,,,1,1,2
w8NTKsoCH8b,Masogo Dispensary (Gem),17518,,,3,,3
lTByU1FuxtM,Masogo Health Centre,13784,,,5,,5
FDrUcAP4Sn4,Masogo Sub County Hospital,13785,,,12,,12
hwIHYJWkZ6t,Masongaleni Health Centre,12477,,,2,,2
UVAVSmgmLgj,Masongo Dispensary,13786,,,1,,1
eBEloHL6afC,Mata Dispensary (Taveta),11577,,,1,,1
Ox532fak7j5,Matangwe Community Health Centre,13787,,,5,,5
FXOdrZAa7bo,Matanya Dispensary,15152,,,11,,
GSBiP2fM5zp,Matata Nursing Hospital,13789,,8,8,,16
Ki3E4GNuj27,Matayos Sub County Hospital,16004,,,6,4,8
rxOzjXrbCkg,Matete Level 4 Hospital,16005,,,3,1,4
QyiacDkIae3,Mathare 3A (EDARP),13075,,1,13,2,16
Ea0rQYGCbYx,Mathare North Hospital,13077,,1,27,1,29
bT26O2JfFSB,Mathare Police Depot,13078,,1,,,
YaNze2Y77ss,Mathari Hospital,13076,,,3,,3
YdthQZVh45c,Matibabu Ukwala Clinic,17529,,,4,,4
YBUNnyEh8fI,Matiliku Sub County Hospital,12485,,,1,1,2
VdppIFvYta4,Matongo Health Centre,13790,,,7,,7
bi747puqsrA,Matoso Health Clinic,13793,,,1,,1
ttGIIqGqFOt,Matsangoni Model Health Centre,11580,,,4,,4
ofrW88rUDJw,Matunda Sub County Hospital,16364,,,4,,4
iuatmqJAf90,Matunda Sub County Hospital,16008,,,4,,4
MdJ4Zb1k9o6,Matungu Sub County Hospital,16037,G.O.K,,8,2,10
KKCH0q292Wz,Matungulu Health Centre,16439,,1,2,,3
ilI3ROaTEuf,Maturu Dispensary,16009,,,,4,4
ZYwmqGDRgY5,Matuu Level 4 Hospital,12488,,1,14,,15
evV553fu7J8,Matuu Mission Health Centre,12489,,,1,3,4
FJLwPzKpxiy,Mau Narok Health Centre,15156,,,2,6,8
pnELrefcHxQ,Maua Methodist Hospital,12492,,,17,5,22
s7kF3iHFhmi,Mautuma Sub County Hospital,16010,,1,4,1,6
N41yfPxtAlL,Mavivye Model Health Centre,17256,,,3,,3
bHv5fWNPV64,Mavoko Level 4 Hospital,11936,,,18,7,25
q2YkoU00i0A,Mawere Dispensary,13796,in maranda Division. Near the boarder of Siaya and Bondo,,2,,2
Lmx5JKQupiP,Mayanja Dispensary,16489,,,4,1,5
JtllB0zMEYx,Mayenje Dispensary,21042,,,1,1,2
pnHduTXb4hB,Mazeras Health centre,11585,,,2,,2
HG5fUsbdzk6,Mbaga Health Centre,13797,,,7,,7
mu9d9jNXA6Y,Mbagathi County Referral Hospital,13080,,,18,5,23
DbCCiO4AXdh,Mbale Rural Health Training Centre,16012,SITUATED OPPOSITE MUNG'OMA CHEMIST,1,7,1,10
Kr5Vxuz1yLl,Mbeere Sub-County Hospital,16467,Public Hospital situated in Siakago Town,,1,,1
LNxAuLQveoD,Mbenuu H Centre,12499,,,1,,1
QGDYhPfwBWt,Mbeu Sub-District Hospital,12500,,,1,,1
x8kNXLmgEDu,Mbitini Health Centre,12521,,,6,,6
V0TLwliVcEl,Mbiuni Health Centre,12503,,,1,,1
pCUabLDKcQM,Mbooni Sub County Hospital,12508,,,6,,6
hJ2Hv8MfMKI,Mbungoni Catholic Dispensary (CBHC),18043,,,12,4,16
DkqZGBy1IPy,Mbuta Model Health Centre,11592,,,1,1,2
C5PLq7spOnB,Mechimeru Model Health Center,16014,,,2,,2
WNMTHpw5zHA,Med 25 International Kenya,17690,,,6,6,12
oJcCDwp7HnM,Megwara Dispensary,15168,,,4,,4
R0DV22i3suI,Melwa Health Centre,15170,,,2,,2
iuldhpF2IHo,Menengai Dispensary,20138,,,3,,3
dcnhTpMFSDo,Mercy Hospital,15174,,2,2,,4
SZSRCK3TjZN,Merewet Dispensary,15177,,,1,,1
aL5ylUzJokH,Merigi Health Centre,15178,,,6,,6
uwvOG2N2Cmt,Meru Teaching And Referral Hospital,12516,,1,25,5,31
h3ZRAclZqK8,Meteitei Sub-District Hospital,15181,Sub-County Hospital,1,3,3,5
Hu1BwBlNLr6,Metropolitan Hospital Nairobi,13090,,,4,,4
r1TbCZwi10y,Mewa Hospital,11600,,,1,,1
ZSphtl0DYFq,Miambani Health Centre,12519,,,1,2,3
pP9chFqKMHb,Miathene District Hospital,16234,,1,,1,2
UlOy160zonh,Midida Dispensary,17342,,,5,3,8
q3Hiw70svzH,Midoti Dispensary,13804,situated in Suba East Division and its  a GOK Facility,,5,,5
dOTpdQwrYeN,Migori County Referral Hospital,13805,Situated in Suba Central and its a GOK Facilily,,35,10,45
zZdbrp6Tyiv,Migosi Sub County Hospital,13807,Facility upgraded from Health Center to Sub County Hospital,,26,5,31
Mi0pnaEXWh2,Migwani Sub County Hospital,12523,,,7,,7
PoGRaH97BVF,Mihuu Dispensary,16016,,,1,1,2
Zbiixb1PWrk,Mikindani (MCM) Dispensary,11613,,1,4,2,5
FdzyWE8bSST,Mikindani Catholic Dispensary,11614,,,12,,12
jobx0qAOpoC,Mikinduri Sub-District Hospial,12525,,,4,,4
fkW2AtRyW2I,Mikumbune Sub-District Hospital,12526,,1,,1,2
kPQ0eHv8sXA,Milo Health Centre,16018,,,1,,1
Myq1ZTOEgEg,Miluki Dispensary,16019,,,2,,2
PIXoJMTOosr,Mindhine Dispensary,13803,,,2,1,3
bMTnmUmmVzc,Miniambo Health Centre,16766,,1,12,,13
RuVa3z3qxpv,Minyenya Health Centre,13809,,,3,,3
ibwx3O2yztO,Miranga Sub County Hospital,13810,,2,8,6,16
ClfJQm3Docv,Mirangine Health Centre,10732,,,,1,1
wTvF9os0GY9,Mirere Health Centre,17931,,,1,,1
WF04P1pRp2f,Miritini CDF Health Centre,11620,,,6,2,8
DJbGPQhE93o,Miriu Health Centre,13812,,1,21,,22
FL59pgqDXol,Mirogi Health Centre,13813,,1,25,,26
h01C8P5M7cJ,Mirugi Kariuki Sub County Hospital,15188,,,3,1,4
T6kjXKie5KZ,Misesi Sub County Hospital,13814,,,2,,2
ttjlT9tfGCj,Misori Dispensary,13815,,,5,,5
WK5p6zkEhfX,Mitaboni Health Centre,12530,,,4,2,6
I4rhKKyqMjo,Mitume Dispensary,18752,,,1,,1
Z5NeINoTgxS,Miwani Health Centre,13816,,,3,,3
THNDq8DTAhT,Mkongani Health Centre,11629,,,1,,1
ebxBpxNXZP1,Mlaleo CDF Health Centre,18210,,,11,,11
JLycfrnh9yB,Mlaleo Medical Clinic,11634,,,10,,10
oFxoGR6nj0P,Mlolongo Health Centre,18581,,1,8,1,10
U5xbK4LZeYP,Mnara Dispensary,13817,,,,1,1
hU0HsTvk8eo,Mochongoi Health Centre,15192,,,,4,4
oXSYWYUv3SN,Modambogho Dispensary,17126,,,2,,2
O2EIvcf2efM,Mogogosiek Health Centre,15195,Health Centre,,6,1,6
sDgMJ46sG5P,Mogori-Komasimo Health Centre,16721,,,2,1,3
Dh04YKYYrWd,Mogotio Sub County Hospital (Baringo),20005,,1,,,1
guF7zg2Bdcy,Moi County Referral Hospital (Voi),11641,,,9,2,11
I3B5p98nl4j,Moi Ndabi Dispensary,15203,,,1,,1
R4pTsCSueeh,Moi Teaching Refferal Hospital,15204,,,47,14,61
cxqZPcA0nwV,Moi's Bridge Health Centre,15209,,1,7,6,10
M7BDO72aXZy,Moiben Health Centre,15206,,,5,,5
IbIpYe5FyiE,Mokomoni Health Centre,13820,,,1,,1
cSzox9dcQlU,Molo Sub County Hospital,15212,,,15,8,23
qXXmA7kcfgg,Momoniat Health Centre,15219,,,3,1,4
FNIEbT5nfml,Mongorisi Health Centre,16982,,,1,,1
Vddks98p1ro,Monianku Health Centre,13821,,,1,,1
vi6T7toguA4,Mosiro Health Centre (Kajiado West),15226,,,,2,2
VBjJasa8Ln3,Mosocho Market Dispensary,20114,,,3,,3
uBH5mlmn9vz,Mosoriot Sub County Hospital,15229,,,16,,16
Kj2rML8tFk2,Mother Angela Huruma Hospital,14553,,,4,1,5
mz4h1YkqvAc,Mother Franciscan Mission Health Centre,15231,,,3,2,5
V5geBYzVbgD,Mother Kevin Hospital (Catholic),15232,,,7,,7
vn36KyrP17l,Moticho Health Centre,13825,,,5,,5
xWXdDXkBeiy,Mowlem Health Centre,24272,,2,7,,7
Wftkk5ibasq,Mpinzinyi Health Centre,11650,,1,,,1
musLWYtdRpQ,Mrima Maternity Hospital,19606,,1,10,3,14
nUFNIok7EwF,Msambweni County Referral Hospital,11655,,,5,1,6
US2758TQo9n,Mt Elgon National Park Dispensary,15240,,,1,1,1
x0iSqHsozPd,Mt Elgon Sub County Hospital,16025,,,6,,6
EjGDFOdiRTy,Mt Kenya (ACK) Hospital,10738,,,3,,3
mdMk0zMyY5Y,Mt Kenya Sub County Hospital,10739,District Hospital,,8,,8
UuRk6DvdifM,Mtito Andei Sub County Hospital,12547,,,4,,4
jCgLoLmPlKC,Mtongwe Dispensary,11669,,,5,2,7
xO3P9qyihvm,Mtwapa Nursing Home,11673,,,,1,1
g93vSYftyjR,Mtwapa Sub County Hospital,11672,,1,18,9,28
UptqVvZaPxr,Mugomari Dispensary,17597,,,2,,2
Qvul0TKYFSw,Muhaka Health Centre,16027,,,6,1,7
p1xtagfLUyQ,Muhoroni County Hospital,13831,,,5,2,7
cLo2mMOlSkq,Muhuru Sub-County Hospital,13833,,,11,8,19
G4fYKBYErXO,Mukhobola Health Centre,16029,,,12,1,13
tENZF6BO4Q7,Mukumu Hospital,16030,,,7,2,9
a7wnPPpUHuA,Mukunike Health Centre,16435,,,1,,1
Fc0JkHQA1og,Mukuru Health Centre,18463,,,21,2,23
l2TrhYBtbC8,Mukuru Mmm Clinic,13101,,,7,4,11
hBqir19pkDS,Mukurweini Sub-county Hospital,10763,,1,10,3,14
z9FKHisHLl1,Mukuyu Dispensary,16031,,,4,,4
UpaNvtGWEZi,Mukuyuni Health Centre,28609,,,2,,2
ZMBAIXYo4VE,Mukuyuni Sub County Hospital,12565,,,1,,1
swdibQaVyEC,Mulaha Dispensary,13834,,,11,,11
dLQjsqOgttT,Mulango (AIC) Health Centre,12566,,,1,,1
xWpiITvlGmC,Mulutu Mission Dispensary,12569,,,1,,1
KWE4k0FdpyQ,Mulwanda Health Centre,16033,,,1,,1
gZJrIrVhQiq,Mumbuini Dispensary,10766,"off Embu/Nairobi road, past Murinduko health centre",,2,,2
pyNcZj1SiiO,Mumias Model Health Centre,16035,,,5,,5
O5OayPfeVWC,Mundika Nursing Home,20062,,1,4,8,13
Xcn5Q2e73rw,Mundobelwa Health Centre,20516,,,3,,3
Sl09BVeTcZl,Mundoli Health Centre,16040,,,1,,1
eFmuvjEF89U,Mung'ang'a Health centre,16041,,,,1,1
yBE1qjhnu5Q,Mung'ung'u Dispensary,16042,,,,1,1
QwqmynrcOV7,Munyu Health Centre,10774,,,2,2,4
Tf9HS4ZXH3Z,Mur Malanga Dispensary,17523,,,3,,3
A19e0CHhTj3,Murang'a County Refferal Hospital,10777,,,18,5,19
faNJdzJAvKw,Mureru Dispensary,10780,,,1,,1
JPl6BiRGUjp,Murungaru Health Centre,10786,,,4,,4
HLBR8Fm8NHq,Musembe Dispensary,16865,,,2,,2
cFRuOTWF3ur,Musembe Dispensary (Lugari),16051,,,1,1,2
Ve2zZoZ9dvj,Muthale Mission Hospital,12587,off Kitui-Kabati-Mwingi road North East of Tulia town,1,2,,3
iLfGXM4vg6l,Muthambi Health Centre,12589,,,3,2,5
ELHafKamFIR,Muthara Sub-District Hospital,12591,,,2,2,4
ySJxoRMN3tm,Muthetheni Health Centre,12593,,,1,,1
kv6VZcAEqRF,Mutithi Health Centre,10798,,,7,,7
gKXNQonSJV4,Mutituni  Level 4 Hospital,12602,,1,10,,11
qEsCuWc2eMM,Mutuati Sub Couty Hospital,12605,,1,8,1,10
faEkuP9l1mp,Mutyambua Sub County Hospital,12610,,,1,,1
i091Ei10XBM,Muyeye Health Centre (Municipal),11677,Old Municipal Clinic,,11,1,12
SkwAFqB5xbI,Mvita Health Centre,11679,,,1,,1
Ukppsz4Mj3M,Mwala Subcounty Hospital,12618,,,2,2,4
eVzFQKlvAjO,Mwashuma Dispensary (CDF),16554,,,1,1,2
fcY1fkS6bL1,Mwatate Sub-District Hospital,11695,,,4,1,5
cfROZdjYJFC,Mweiga Health Centre,10809,,,3,,3
R9fTJQSUjAc,Mwer Dispensary,16788,,,6,,6
cSJA4hwmlLm,Mwihila Mission Hospital,16058,,,2,,2
VFkTXLKIbBT,Mwikalikha Health Centre,17410,,,1,,1
ClVMQmETF4u,Mwingi Level IV Hospital,12626,,1,12,,13
eEVi7Ji3nke,Mwongori Dispensary,13836,,,3,,3
uj2UMJenimd,Nabongo Dispensary,16059,,1,5,1,7
QY0YH92HfWO,Nairagie Enkare Sub-County Hospital,15277,,1,1,,2
BtD2riFtR1r,Nairobi Remand Prison Health Centre,13161,Dispensary,,3,,3
fuHWUdVeIZl,Naisoya Dispensary,15279,,,1,,1
FhqUs6aRJoX,Naitiri Sub-County Hospital,16061,,,10,4,14
m6ITwjXu5J5,Naivasha (AIC) Medical Centre,15282,,,12,,12
RU2jRqYCp2E,Naivasha District Hospital,15280,,1,36,5,42
rwmAZ2gLzS7,Naivasha GK Prison Annex Dispensary,14516,,,1,,1
OCkGCPhF8Gs,Nakuru Provincial General Hospital,15288,At Hospital road,,34,22,56
tlcvZ4jzPwM,Nakuru West (PCEA) Health Centre,15290,,,1,,1
DIvySewPpEf,Nakuru West Health Centre,15365,,1,6,1,8
gvplllzYFPk,Nakwamoru Health Centre,15292,,,2,,2
DIonv0JYDFH,Nala Maternity and Nursing Home,16062,,,2,,2
Gs3YhBmcHwO,Nalondo Health Centre (Model),17117,,,1,,1
bm0xjIsElOx,Namagara Dispensary,16064,,,4,2,6
T8ykBEN4kyI,Namanga Health Centre,15294,,1,3,1,4
Bq8H9szTsYf,Namanjalala Dispensary,17994,,,,1,1
z6NaFzIMBFT,Namasoli Health Centre,16065,,,3,,3
SPfT81d1gVx,Namba Kodero Dispensary,16273,,,9,,9
wwBB7XKIgr8,Nambale Sub County Hospital,16066,,,11,,11
G8avY4Gzra8,Namboboto Dispensary,16067,,,1,,1
vpcUN6fhhfX,Nambuku Model Health Centre,16068,,,3,5,8
Nq0dWw681Qs,Namelok Health Centre,15296,,,2,,2
NaNOAO9vdQF,Namirama Dispensary,17178,dispensary,,,1,1
q7a1TH1APLe,Namuduru Dispensary,16069,,,2,,2
DwUrEH0QR9t,Namukuse Dispensary,15301,,,2,,2
s10bI57eZ6v,Namulungu Dispensary,16070,,,1,,1
Ru5RPDkbVTR,Namusala Dispensary,21059,,,1,,1
FVZSGQeGAWy,Nandarasi Dispensary,10820,,,1,,1
ucpxRXJhTuE,Nandi Hills County Hospital,14179,In Nandi Hills town,,7,,4
EGS0saGNDoS,Nangina Dispensary,16072,,,7,,7
wZYYhq8qsZ0,Nanyuki Teaching and Referral Hospital,15305,,1,6,8,15
eUG9sXdwHag,Narok County Referral Hospital,15311,,1,16,8,25
gz6H3xfyKgn,Naromoru Level 4 Hospital,10822,,,1,,1
PpgMAHSg9Oq,Nasewa Health Centre,16074,,,3,,3
MWcwkURjOjR,Nasira Dispensary,19887,,,2,,2
Vl9yeiqpaUd,Nasusi Dispensary,16076,,,1,,1
Rvu6KPuh0ci,National Youth Service Hq Dispensary (Ruaraka),13130,,,2,,2
MPbxqvaEWLa,Navakholo Sub County Hospital,16078,hospital,1,5,3,9
NxtPmGX4kQD,Naya Health Centre,13837,,,15,,15
RG4eEDBQ8tm,Nazareth Hospital,10825,,1,12,1,14
GmnUAmcCmsV,Nazareth Hospital (Ruiru),17490,,,4,,4
ohJAsPklBdW,Ndabibi Dispensary,15318,,,2,2,4
YipErGJiLow,Ndalu Health Centre,16079,,,5,1,6
nltKVAqijoC,Ndanai Sub County Hospital,15322,,,7,,7
uAmB8MLWUbq,Ndaragwa Health Centre,10829,,,4,2,6
kIkn9YIz4Qj,Ndeda Dispensary,13839,Island in nyangoma Division,,4,,4
ZqF7NG3gANx,Ndeiya Health Centre,10831,,1,1,,2
uECirbmK3vj,Ndemi Health Centre,10832,,,2,,2
BTkvpaSEq55,Ndere Health Centre,13840,,,3,,3
XYDcUKlknf5,Ndhiwa Sub County Hospital,13841,,,23,,23
PMaCD9epy9o,Ndhuru Health Centre,13842,,,2,,2
DoHbN85NkUa,Ndindika Health Centre,15325,,,4,,4
gqskItE0Gka,Ndiru Level 4 Hospital,13843,,,10,,10
oGlCWuv7jU7,Ndisi Health Center,16771,,,5,1,6
JdqOvfWtH49,Ndiwa Dispensary,13844,,,6,1,7
QYhKgi9NMUr,Ndori Health Centre,13845,,,18,,18
DUoMcSbpU37,Ndovu Health Centre,11705,,,6,2,8
h0a0zgZUPlq,Nduga Health Centre,19868,,,1,,1
GBhUzlGBAgx,Nduru Dispensary,16787,,,4,,4
VNthlMGjt7T,Nduru Kadero Health Centre,13848,,,,1,1
AfrL9Cw3W2v,Nduru Sub County Referral Hospital,13847,,,4,,4
hWr7kmALfeT,Neissuit Dispensary,15331,,,1,,1
mZq9BpNMPFG,Nembure Health Centre,12642,,2,5,,7
kKYdOJ0uRod,New Mawingu Health Centre,10851,,,,1,
wY8b3t2QsEL,Ng'Iya Health Centre,13852,,,9,2,11
B8Y8xuk4MFf,Ng'ong'a Dispensary,17052,,,5,,5
CDd0j0WKbeJ,Ngaira Rhodes Dispensary,13121,Dispensary,,1,,1
GuFAWSVAJtr,Ngalasia Dispensary,16081,,,1,,1
yeGUcHoOF0W,Ngano Health Centre,10856,,,2,3,5
HUsIFF3CxlZ,Ngara Health Centre (City Council of Nairobi),13122,Health Centre,,8,1,9
r874ehM9tS8,Ngarua Health Centre,15339,,,3,,3
pGJgEAZ6DkV,Ngegu Health Centre,13849,,,9,,9
zJh1VaiwSDZ,Ngelel Tarit Dispensary,17829,,,6,,6
x34xUVEFge4,Ngenda Health Centre,10864,,,3,1,4
leXuCmyYwWX,Ngere Health Centre,13850,,,6,1,7
YZyIlJ1KHHA,Ngeta Health Centre,20168,Dispensary,,1,,1
dsbD2Xdq2Zg,Ngewa Health Centre,10865,,2,4,,6
XWycxNbm28F,Ngodhe Dispensary,13853,,,6,,6
fhUqSZR2MaN,Ngoliba Health Centre,10869,,,4,1,4
sk9ycClAxDu,Ngomeni Health Centre,12654,,,2,1,3
peOeXgYmRoo,Ngong Road Dispensary,13123,,,2,,2
WzIfzN4cqMu,Ngong Sub-County Hospital,15351,,,20,3,22
JpOeRsaZHoG,Ngorika health centre,10871,,,,1,1
HIEF04AulGc,Ngorongo Health Centre,10872,Ministry of Health,,1,,1
mYCbfDe5PSK,Nguku Health Center,13855,,,,11,11
O5xsvwvsy27,Nguluni Health Centre,12657,,,12,3,15
Hk4RzoagEQy,Nguni Health Centre,12658,,,10,3,13
M3drLV2Qeob,Ngwata Health Centre,12663,,,4,,5
E4jVwDn9VtO,Nightingale Medical Centre,13856,,,5,1,6
DbOdUfzRcBN,Njabini Catholic Dispensary,17560,,,3,,3
JWdMKPTg0HL,Njabini Health Centre,10878,,,5,,5
A1LHwsmDMUX,Njiru (EDARP) Clinic,17548,,,7,3,10
qvpYnC3UQ7z,Njiru Hospital,13126,,1,24,1,26
pLq3t6aiqUC,Njoro Subcounty Hospital,15358,,,22,2,24
gCRidS1x9ty,North Kinangop Catholic Hospital,10887,,,11,3,14
SezKPZmA70j,North-Lake Rocco Medical Centre,15489,,,1,,1
qzp1rXyNKFL,Nthongoni Sub County Hospital,12676,,,,4,3
xt2lltkTLza,Ntimaru Sub County Hospital,13858,,,2,,4
yHbqGh3xWsy,Nyabiosi Health Centre,16880,,,3,,3
UA0iSIHHIpp,Nyabioto Dispensary,16423,,,3,,3
T4fYNeKF5gb,Nyabondo Mission Hospital,13864,,,19,,19
vGsSZnuccgd,Nyache Health Centre,11720,,,1,,1
difHM52kujJ,Nyacheki Sub County Hospital,13867,,,4,,4
nKDcsLqOt81,Nyadhi Dispensary,17535,,,2,,2
q1fSSC4w9pO,Nyagancha Dispensary,16266,,,1,,1
UKLTU9SVDp3,Nyagoko Dispensary,13874,,,7,,7
HIEDhEPPVCE,Nyagoro Health Centre,13875,,,4,,4
Sl1MkMfCluS,Nyagoto Health Centre,13876,,,1,,1
NETZipsOma4,Nyaguda Health Center,13877,upgraded to serve as Health Center,,9,,9
jO55LWzNxCv,Nyahera Sub County Hospital,13880,,1,19,,20
dAPS3WNKy1K,Nyahururu District Hospital,10890,,,9,,9
zdklzerrVxH,Nyakach (AIC) Dispensary,13881,,1,5,,6
ffLvCT7DuPc,Nyakach County Hospital,13921,,,3,,3
D3gE54sbiH8,Nyakiambi Dispensary,15370,,,1,,1
J3865NY4ur6,Nyakongo health Centre,13884,Dispensary,,10,,10
WlgH5Q5Y6kZ,Nyakuru Dispensary,13885,,,9,4,13
uMzpY2vfUnF,Nyalenda Health Centre,13887,,,8,,8
H2Cpb3vTyOe,Nyalgosi Health Centre,13889,,1,3,,4
wUU4WZrUUgK,Nyalkinyi Health Centre,16986,,,1,,1
bSJkg11sPh7,Nyalunya Health Centre,13890,,,11,,11
gXJXJvMm9Jg,Nyamache Sub County Referral Hospital,13891,,,3,,3
kNz883gc5n8,Nyamagundo sub county hospital,13892,,,2,,2
o8IOlvEXsMe,Nyamaiya Health Centre,13894,,,4,1,5
BEJwbly8xZS,Nyamamithi Dispensary,15372,,,3,,3
UMheUvXia9d,Nyamanga Dispensary (Nyatike),13896,,,3,,3
NDFVW6VFCnE,Nyamaraga Sub County Hospital,13897,Situated in Suba West division and its a GOK Facility,,9,3,9
jYceYXy2rBf,Nyamarimba Sub County Hospital,13899,,,2,,2
pJP2SYBe0bB,Nyamasare Dispensary,13900,,,7,,7
AvzELEbLhhW,Nyamasi Health Centre,13902,,,2,,2
q0HFYe46rHe,Nyambare Health Centre,13904,,,4,,4
KCKQZfmxuKS,Nyambene Sub County Hospital,12684,,1,18,1,20
hKvUlAHlVJx,Nyamira County Referral Hospital,13912,,,12,3,15
Fb6QnAUP1Gf,Nyamonye Mission Dispensary,13914,is a Catholic dispensary in Usigu Division,,9,,9
ag64ujDJHs6,Nyanchwa Adventist Hospital,13918,,,4,3,7
mvhjOGeHZbK,Nyandago Koweru Dispensary,13919,,,10,2,12
okma2mhy9sc,Nyandiwa Level IV Hospital,13920,,,21,,21
C3hcs594UwF,Nyang'oma Mission Health Centre,13929,In Nyangoma Division.,,11,,11
Fiw6j6VJOPf,Nyang'oma Sub County Hospital,13928,,,21,,21
bNpQPT4CPfW,Nyangajo health Centre,20172,Dispensary,,18,1,19
gdjJjF3h8HT,Nyangande Sub County Hospital,13923,,,24,,24
c1b5UpHXXU7,Nyangena Hospital,13925,,,4,,4
UvpDlU8kdC9,Nyangiela Sub County Hospital,13926,,,16,3,19
WggQjuiAZV8,Nyangu Dispensary,13930,,,8,,8
OymqGMFUQan,Nyansakia Health Centre,13933,,1,,,1
vlWTrWMtRy1,Nyaoga Health Centre,16876,,,8,3,11
PLczdqs5KKm,Nyaporo Dispensary,17082,,,,2,2
sAMKlirWAu6,Nyarongi Dispensary,13940,Situated in Suba Central and its a GOK Facilily,,5,1,6
JndRLlEOlBD,Nyathengo Dispensary,13944,,,3,,3
VsubFRDKyLR,Nyathuna Level 4 Hospital,10895,,,1,,1
MTG9Ipne1mz,Nyatike Health Centre,13945,,1,1,1,3
Uma5NXphDL5,Nyawango Health Centre,18051,,2,1,,3
Oy12OVa3NVS,Nyawara Health Centre,13947,,,8,,8
JjIbDDg4pZ6,Nyawawa Health Centre,19863,,,1,,1
cKbuV6z4EJ9,Nyawita Health Centre,19864,,,2,2,4
dSXVo1RmpPp,Nyenye Misori Dispensary,13948,NEAR UHANYA BEACH IN USIGU DIVISION,,7,,7
