organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50
wOcT7C4Gqzh,Gathanga Health Centre,10214,,,4,,4
AagM6cS5ef7,Gatimbi Health Centre,12031,,,3,,3
RPNI2yciVPb,Gatimu Health Centre,18781,,,1,,1
IXiFtNKHo5f,Gatithi Dispensary,10221,off Sagana/Karatina highway,,1,,1
WrZYJH3y1Fh,Gatundu Level 5 Hospital,10233,,,10,4,14
dUO3G9O89X7,Gatunyu Dispensary,10234,,,4,,4
KKndGuWgx1c,Gatura Healh Centre,10236,,,1,,1
FkB4lcoQfnz,Gede Sub County Hospital,11387,,,10,1,11
PpQmurYqrCk,Gertrudes Childrens Hospital,12950,,,4,3,7
EaAOtVISoLP,Gesusu Sub-County Referral Hospital,13564,,,8,,8
La4FiUTG0Ed,Geta Bush Health Centre,10244,,,2,,2
TjAizB1Q3zr,Getare Health Centre,13566,,,4,2,6
BSIVRetkq9o,Getongoroma Dispensary,13569,,,1,,1
foKJoeEplXv,Gianchore Health Centre,13572,,,1,,1
JWSHmk8XVoB,Gichiche Health Centre,10249,,,3,,3
suwoJuHlA2b,Gichira Health Centre,10251,,,3,1,4
HdbugkfTIcQ,Gichuru Dispensary,10252,,,,9,9
pUcL23obDlW,Gikono Dispensary,16171,,2,2,,4
dx6XwBdUB2q,Gilgil Sub County Hospital,14510,Sub County Hospital,1,11,3,15
xa8ZMxIarv6,Giribe Dispensary,13576,,,4,1,5
ngqqwzhuvjL,Gita Sub County Hospital,13647,,1,9,1,11
SZgImyX0tp9,Githiga Health Centre,10263,,,3,1,4
bGUaAhlsRqp,Githogoro Runda Baptist Clinic (Getrudes Nairobi),18887,a facility in Githogoro.,,3,,3
XFmkizVkihs,Githongo Sub-County Hospital,12041,,,2,3,5
oau2wlYZlO3,Githumu Hospital,10267,,,2,,2
rg99yzExwVO,Githunguri Health Centre,10269,,,12,3,15
oywqPDtNrTb,Githunguri Health Centre (Ruiru),16748,,,5,2,7
xMHtgmoaubR,Givole Dispensary,17182,,1,,,1
LeATvvxVKcP,Givudimbuli Health Centre,15889,,,1,2,3
hcWdD9jFQQf,GK Farm Prisons Health Centre,14514,,,1,,1
yfk4umSvayX,GK Prison Dispensary (Magarini),11394,,1,5,,6
kIKjM5pMTat,GK Prisons Dispensary (Busia),15891,,,4,,4
yanWZpO1esQ,GK Prisons Dispensary (Kakamega Central),15892,,,2,,2
XdmsyjZT77E,GK Prisons Dispensary (Kibos),13579,,,1,,1
APRSsUJAVrP,Gobei Health Centre,13581,"level 3 facilty in maranda division. By the road Bondo to Kisumu road,just 6 kms from Bondo Town.",,13,,13
G44EhGVs2FX,God Jope Dispensary,13582,situated in Suba East Division,,9,,9
Dp9uga9zfqH,God Kwer Dispensary,13583,Situated in Suba West division and its a GOK Facility,,14,2,16
IlPlC1wPLOt,Godber Health Centre,13584,,,1,,1
TfsKMWO3CEU,Gombato Dispensary (CDF),16546,,,2,,2
KRC06WZHgOL,Gongo Health Centre,13587,,,2,,2
AzOEyXz9Alb,Gongo Health Centre,17516,,,6,,6
hRvE0UfQ1LZ,Gongoni Health Centre,11401,,,7,,7
