organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
wZYYhq8qsZ0,Nanyuki Teaching and Referral Hospital,19.0,Severe,1.0,6.0,15.0,6.666666666666667
eUG9sXdwHag,Narok County Referral Hospital,39.0,Severe,1.0,16.0,25.0,4.0
gz6H3xfyKgn,Naromoru Level 4 Hospital,4.0,Low/Moderate,,1.0,1.0,
PpgMAHSg9Oq,Nasewa Health Centre,3.0,Low/Moderate,,3.0,3.0,
Vl9yeiqpaUd,Nasusi Dispensary,4.0,Low/Moderate,,1.0,1.0,
Rvu6KPuh0ci,National Youth Service Hq Dispensary (Ruaraka),1.0,Low/Moderate,,2.0,2.0,
MPbxqvaEWLa,Navakholo Sub County Hospital,10.0,High,1.0,5.0,9.0,11.11111111111111
NxtPmGX4kQD,Naya Health Centre,7.0,High,,15.0,15.0,
RG4eEDBQ8tm,Nazareth Hospital,12.0,Very High,1.0,12.0,14.0,7.142857142857142
GmnUAmcCmsV,Nazareth Hospital (Ruiru),14.0,Very High,,4.0,4.0,
ohJAsPklBdW,Ndabibi Dispensary,1.0,Low/Moderate,,2.0,4.0,
YipErGJiLow,Ndalu Health Centre,11.0,High,,5.0,6.0,
nltKVAqijoC,Ndanai Sub County Hospital,22.0,Severe,,7.0,7.0,
uAmB8MLWUbq,Ndaragwa Health Centre,11.0,High,,4.0,6.0,
kIkn9YIz4Qj,Ndeda Dispensary,2.0,Low/Moderate,,4.0,4.0,
ZqF7NG3gANx,Ndeiya Health Centre,2.0,Low/Moderate,1.0,1.0,2.0,50.0
uECirbmK3vj,Ndemi Health Centre,2.0,Low/Moderate,,2.0,2.0,
BTkvpaSEq55,Ndere Health Centre,2.0,Low/Moderate,,3.0,3.0,
XYDcUKlknf5,Ndhiwa Sub County Hospital,28.0,Severe,,23.0,23.0,
PMaCD9epy9o,Ndhuru Health Centre,2.0,Low/Moderate,,2.0,2.0,
DoHbN85NkUa,Ndindika Health Centre,7.0,High,,4.0,4.0,
gqskItE0Gka,Ndiru Level 4 Hospital,4.0,Low/Moderate,,10.0,10.0,
oGlCWuv7jU7,Ndisi Health Center,2.0,Low/Moderate,,5.0,6.0,
JdqOvfWtH49,Ndiwa Dispensary,1.0,Low/Moderate,,6.0,7.0,
QYhKgi9NMUr,Ndori Health Centre,20.0,Severe,,18.0,18.0,
DUoMcSbpU37,Ndovu Health Centre,5.0,Low/Moderate,,6.0,8.0,
h0a0zgZUPlq,Nduga Health Centre,5.0,Low/Moderate,,1.0,1.0,
GBhUzlGBAgx,Nduru Dispensary,3.0,Low/Moderate,,4.0,4.0,
VNthlMGjt7T,Nduru Kadero Health Centre,2.0,Low/Moderate,,,1.0,
AfrL9Cw3W2v,Nduru Sub County Referral Hospital,3.0,Low/Moderate,,4.0,4.0,
hWr7kmALfeT,Neissuit Dispensary,7.0,High,,1.0,1.0,
mZq9BpNMPFG,Nembure Health Centre,6.0,High,2.0,5.0,7.0,28.57142857142857
kKYdOJ0uRod,New Mawingu Health Centre,3.0,Low/Moderate,,,,
wY8b3t2QsEL,Ng'Iya Health Centre,16.0,Very High,,9.0,11.0,
B8Y8xuk4MFf,Ng'ong'a Dispensary,3.0,Low/Moderate,,5.0,5.0,
CDd0j0WKbeJ,Ngaira Rhodes Dispensary,25.0,Severe,,1.0,1.0,
GuFAWSVAJtr,Ngalasia Dispensary,2.0,Low/Moderate,,1.0,1.0,
HUsIFF3CxlZ,Ngara Health Centre (City Council of Nairobi),21.0,Severe,,8.0,9.0,
r874ehM9tS8,Ngarua Health Centre,6.0,High,,3.0,3.0,
pGJgEAZ6DkV,Ngegu Health Centre,6.0,High,,9.0,9.0,
x34xUVEFge4,Ngenda Health Centre,1.0,Low/Moderate,,3.0,4.0,
leXuCmyYwWX,Ngere Health Centre,3.0,Low/Moderate,,6.0,7.0,
YZyIlJ1KHHA,Ngeta Health Centre,6.0,High,,1.0,1.0,
dsbD2Xdq2Zg,Ngewa Health Centre,5.0,Low/Moderate,2.0,4.0,6.0,33.33333333333333
XWycxNbm28F,Ngodhe Dispensary,3.0,Low/Moderate,,6.0,6.0,
fhUqSZR2MaN,Ngoliba Health Centre,7.0,High,,4.0,4.0,
sk9ycClAxDu,Ngomeni Health Centre,4.0,Low/Moderate,,2.0,3.0,
peOeXgYmRoo,Ngong Road Dispensary,12.0,Very High,,2.0,2.0,
WzIfzN4cqMu,Ngong Sub-County Hospital,41.0,Critical,,20.0,22.0,
JpOeRsaZHoG,Ngorika health centre,5.0,Low/Moderate,,,1.0,
HIEF04AulGc,Ngorongo Health Centre,3.0,Low/Moderate,,1.0,1.0,
mYCbfDe5PSK,Nguku Health Center,1.0,Low/Moderate,,,11.0,
O5xsvwvsy27,Nguluni Health Centre,22.0,Severe,,12.0,15.0,
Hk4RzoagEQy,Nguni Health Centre,10.0,High,,10.0,13.0,
M3drLV2Qeob,Ngwata Health Centre,6.0,High,,4.0,5.0,
E4jVwDn9VtO,Nightingale Medical Centre,2.0,Low/Moderate,,5.0,6.0,
DbOdUfzRcBN,Njabini Catholic Dispensary,2.0,Low/Moderate,,3.0,3.0,
JWdMKPTg0HL,Njabini Health Centre,5.0,Low/Moderate,,5.0,5.0,
A1LHwsmDMUX,Njiru (EDARP) Clinic,9.0,High,,7.0,10.0,
qvpYnC3UQ7z,Njiru Hospital,31.0,Severe,1.0,24.0,26.0,3.8461538461538463
pLq3t6aiqUC,Njoro Subcounty Hospital,32.0,Severe,,22.0,24.0,
gCRidS1x9ty,North Kinangop Catholic Hospital,6.0,High,,11.0,14.0,
SezKPZmA70j,North-Lake Rocco Medical Centre,5.0,Low/Moderate,,1.0,1.0,
qzp1rXyNKFL,Nthongoni Sub County Hospital,4.0,Low/Moderate,,,3.0,
xt2lltkTLza,Ntimaru Sub County Hospital,3.0,Low/Moderate,,2.0,4.0,
UA0iSIHHIpp,Nyabioto Dispensary,1.0,Low/Moderate,,3.0,3.0,
T4fYNeKF5gb,Nyabondo Mission Hospital,18.0,Very High,,19.0,19.0,
difHM52kujJ,Nyacheki Sub County Hospital,3.0,Low/Moderate,,4.0,4.0,
nKDcsLqOt81,Nyadhi Dispensary,6.0,High,,2.0,2.0,
UKLTU9SVDp3,Nyagoko Dispensary,1.0,Low/Moderate,,7.0,7.0,
HIEDhEPPVCE,Nyagoro Health Centre,11.0,High,,4.0,4.0,
Sl1MkMfCluS,Nyagoto Health Centre,6.0,High,,1.0,1.0,
NETZipsOma4,Nyaguda Health Center,9.0,High,,9.0,9.0,
jO55LWzNxCv,Nyahera Sub County Hospital,8.0,High,1.0,19.0,20.0,5.0
dAPS3WNKy1K,Nyahururu District Hospital,20.0,Severe,,9.0,9.0,
zdklzerrVxH,Nyakach (AIC) Dispensary,6.0,High,1.0,5.0,6.0,16.666666666666664
ffLvCT7DuPc,Nyakach County Hospital,17.0,Very High,,3.0,3.0,
D3gE54sbiH8,Nyakiambi Dispensary,1.0,Low/Moderate,,1.0,1.0,
J3865NY4ur6,Nyakongo health Centre,1.0,Low/Moderate,,10.0,10.0,
WlgH5Q5Y6kZ,Nyakuru Dispensary,6.0,High,,9.0,13.0,
uMzpY2vfUnF,Nyalenda Health Centre,13.0,Very High,,8.0,8.0,
H2Cpb3vTyOe,Nyalgosi Health Centre,6.0,High,1.0,3.0,4.0,25.0
wUU4WZrUUgK,Nyalkinyi Health Centre,5.0,Low/Moderate,,1.0,1.0,
bSJkg11sPh7,Nyalunya Health Centre,1.0,Low/Moderate,,11.0,11.0,
gXJXJvMm9Jg,Nyamache Sub County Referral Hospital,3.0,Low/Moderate,,3.0,3.0,
kNz883gc5n8,Nyamagundo sub county hospital,2.0,Low/Moderate,,2.0,2.0,
o8IOlvEXsMe,Nyamaiya Health Centre,6.0,High,,4.0,5.0,
UMheUvXia9d,Nyamanga Dispensary (Nyatike),3.0,Low/Moderate,,3.0,3.0,
NDFVW6VFCnE,Nyamaraga Sub County Hospital,10.0,High,,9.0,9.0,
jYceYXy2rBf,Nyamarimba Sub County Hospital,6.0,High,,2.0,2.0,
pJP2SYBe0bB,Nyamasare Dispensary,2.0,Low/Moderate,,7.0,7.0,
q0HFYe46rHe,Nyambare Health Centre,4.0,Low/Moderate,,4.0,4.0,
KCKQZfmxuKS,Nyambene Sub County Hospital,25.0,Severe,1.0,18.0,20.0,5.0
hKvUlAHlVJx,Nyamira County Referral Hospital,20.0,Severe,,12.0,15.0,
Fb6QnAUP1Gf,Nyamonye Mission Dispensary,5.0,Low/Moderate,,9.0,9.0,
ag64ujDJHs6,Nyanchwa Adventist Hospital,8.0,High,,4.0,7.0,
mvhjOGeHZbK,Nyandago Koweru Dispensary,4.0,Low/Moderate,,10.0,12.0,
