organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
Yb2CWS6G5vL,Vigurungani Dispensary,5.0,Low/Moderate,,2.0,2.0,
ZJARL7Ml1Hp,Vihiga County Referral Hospital,4.0,Low/Moderate,,17.0,17.0,
dhpZNi2matH,Vihiga Health Centre,5.0,Low/Moderate,,2.0,2.0,
hCnhN2p6C9T,Vipingo Rural Demonstration Health Centre,18.0,Very High,,3.0,7.0,
xcPoUmNUMhX,Vyulya Dispensary,2.0,Low/Moderate,,1.0,1.0,
igio73d1icL,Wagai Health Centre,9.0,High,,4.0,5.0,
SWsrrwl19XQ,Wagoro Dispensary (Rarieda),1.0,Low/Moderate,,4.0,4.0,
cEJrVBkq5x3,Wagwe Health Centre,4.0,Low/Moderate,,8.0,8.0,
HK7E1p1vij4,Waithaka Health Centre,14.0,Very High,1.0,8.0,12.0,8.333333333333332
JQyaWox11FU,Wakula Health Centre,4.0,Low/Moderate,,6.0,6.0,
mz7QyEwYs6W,Wamba Sub County Hospital,1.0,Low/Moderate,,1.0,1.0,
lDwCRAzs0hC,Wamunyu Health Centre,5.0,Low/Moderate,,2.0,2.0,
gNujOVxWPWY,Wananchi Nursing Home,2.0,Low/Moderate,,2.0,4.0,
htS3CRkD3WD,Wanganga Health Centre,2.0,Low/Moderate,,1.0,1.0,
OgKxzrPyq6n,Wangige Sub-County Hospital,34.0,Severe,,19.0,25.0,
lqUH9qJYc2r,Wanjohi Health Centre,6.0,High,1.0,2.0,4.0,25.0
FlMDRiCxNoC,Warazo Rural Health Centre,3.0,Low/Moderate,,1.0,1.0,
jSsqGE88rMQ,Wath Onger Health Center,1.0,Low/Moderate,,16.0,16.0,
cW5YDD9s3fq,Waware Health Centre,1.0,Low/Moderate,,7.0,7.0,
Jfpsre91xXE,Webuye Health Centre,8.0,High,,1.0,1.0,
niedF4o5ctT,Webuye Hospital,48.0,Critical,,8.0,13.0,
QcA3MMostYn,Wema Centre Medical Clinic,10.0,High,,12.0,13.0,
a0XwYzX3wfw,Westlands Hospital,24.0,Severe,,8.0,15.0,
wCSn2WNV6Gq,Wesu Sub County Hospital,2.0,Low/Moderate,,,1.0,
MO9z02WLRpY,Wiga Health Centre,3.0,Low/Moderate,,6.0,6.0,
sNVr5pZoEuQ,Wikondiek Health Centre,2.0,Low/Moderate,,1.0,2.0,
dW7oScLnDy2,Winjo Dispensary,3.0,Low/Moderate,,2.0,3.0,
zc2OxGFBTln,Wire Dispensary,5.0,Low/Moderate,,10.0,10.0,
LNeiFE8eJWb,Wiyeta Dispensary,7.0,High,,3.0,3.0,
UY3IInX1rgt,Yago Dispensary,3.0,Low/Moderate,,1.0,1.0,
eaXhspDplci,Yala Health Centre,2.0,Low/Moderate,,14.0,14.0,
AlbZLFgtUXp,Yala Sub County Hospital,18.0,Very High,,14.0,14.0,
ke4moKRIpK6,Ziwa La Ng'ombe Health Centre,7.0,High,,2.0,2.0,
