organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category
FhJyGii0JLR,Mama Freda Medical Centre,13763,,0.0,0.0,0.0,4.0,Low/Moderate
EmMu340uBVZ,Mama Lucy Kibaki Hospital (Embakasi),17411,,7.0,3.0,0.0,89.0,Critical
K1RCKIpNpG9,Mama Margaret Uhuru Hospital,28885,,0.0,1.0,0.0,10.0,High
ZSjZcx0lxrz,Mama Plister Blair Health Centre,17121,,0.0,1.0,0.0,4.0,Low/Moderate
QR1g2biIGKf,Mama Vero Clinic,12464,at West of Kabati town opposite Greenland hotel,0.0,1.0,0.0,2.0,Low/Moderate
uz2t2srEkfb,Mamba Dispensary (Yatta),12465,,0.0,1.0,0.0,0.0,Low/Moderate
O8cO0JfUo2l,Mambrui Dispensary,11559,,0.0,0.0,0.0,2.0,Low/Moderate
Ae73VdvXFaH,Mamlaka Medical Centre,20562,,0.0,0.0,0.0,2.0,Low/Moderate
MquvtmkXHX7,Mananja Health Centre,12466,,0.0,1.0,0.0,2.0,Low/Moderate
S0pNUj8UTsw,Manda Dispensary,17681,,0.0,1.0,0.0,5.0,Low/Moderate
cpmUjkUfMqG,Mandera Central Sub county Hospital,13335,Sub-county referral hospital,0.0,0.0,0.0,1.0,Low/Moderate
jqrGlRD2MbV,Mandera County Refferal Hospital,13402,,0.0,1.0,0.0,7.0,High
PK41JfdNIjz,Mandera North Sub County Hospital,13423,,0.0,0.0,0.0,1.0,Low/Moderate
bxLmKCtMU4e,Mandera West Sub County Hospital,13445,Sub-county Referral Hospital,0.0,0.0,0.0,1.0,Low/Moderate
gO4F9cwk5WB,Manga Sub County Hospital,13766,,0.0,0.0,0.0,4.0,Low/Moderate
oHDwiPFaNCX,Mangima SDA Health Centre,13768,,0.0,0.0,0.0,1.0,Low/Moderate
yPFhQ8EkS2h,Mango Dispensary,12469,,0.0,0.0,0.0,1.0,Low/Moderate
KysFcG0IQYZ,Manunga Health Centre,10681,,0.0,0.0,0.0,3.0,Low/Moderate
Jq3sWm3tMJy,Manyala Sub County Hospital,15999,,0.0,0.0,0.0,8.0,High
Nkbsp23UkM3,Manyatta (SDA) Dispensary,13769,,0.0,0.0,0.0,3.0,Low/Moderate
j0VmAofVrzi,Manyoror Health Centre,15121,,0.0,1.0,0.0,3.0,Low/Moderate
EZCHSlG09NE,Manyuanda Health Centre (Rarieda),13771,,0.0,0.0,0.0,7.0,High
gzocEzWT73W,Manyuanda Sub county Hospital,13770,,0.0,3.0,0.0,7.0,High
M6xawHYldR7,Mapengo Dispensary,16000,,0.0,0.0,0.0,2.0,Low/Moderate
UeuVZHyyPv7,Mapenya Dispensary,17692,,0.0,0.0,0.0,3.0,Low/Moderate
kKVNAgtxsgI,Marafa Sub County Hospital,11562,,0.0,1.0,0.0,4.0,Low/Moderate
WMjR7Dtk7aj,Maragua Sub County Hospital,10686,,2.0,1.0,1.0,20.0,Severe
MMuiOe71sYx,Maraigushu Dispensary,15124,,0.0,0.0,0.0,5.0,Low/Moderate
dsaHh6LxrRQ,Maram Health Center,16258,,0.0,1.0,0.0,4.0,Low/Moderate
DwWnWJI4PTH,Maranjau Dispensary,10688,,0.0,0.0,0.0,2.0,Low/Moderate
sbtG4aQyRyp,Mararianta Health Centre,15128,,0.0,0.0,0.0,4.0,Low/Moderate
BdTuCmOCIMJ,marble healthcare limited,22839,,0.0,0.0,0.0,1.0,Low/Moderate
Jm2yFzjQT78,Marenyo Health Centre,13773,,0.0,0.0,0.0,2.0,Low/Moderate
xFk3GI5SCCl,Marereni Dispensary,11563,,0.0,2.0,0.0,15.0,Very High
TXorfZmnbmS,Maria Immaculate Hospital Lavington,13062,,0.0,0.0,0.0,4.0,Low/Moderate
tKrbbrbKFeR,Maria Maternity and Nursing Home,13063,,0.0,0.0,0.0,1.0,Low/Moderate
WdUQzRRlAh7,Maria Salus Infirmorum Dispensary,18690,,0.0,0.0,0.0,3.0,Low/Moderate
UweDhlAvRBI,Maria Teressa Nuzzo Health Centre,11565,,0.0,0.0,0.0,7.0,High
zehMGHbsddQ,Mariaini Dispensary,16970,,0.0,0.0,0.0,3.0,Low/Moderate
mITAGtWnWEK,Mariakani Sub County Hospital,11566,Along mombasa -Nairobi highway past Mazeras from Mombasa,0.0,3.0,0.0,14.0,Very High
Ne8epHQ6cvK,Marian Medical and Dental clinic,23363,,0.0,0.0,0.0,1.0,Low/Moderate
ZgoaGXYlUAa,Mariashoni Health Centre,15129,,0.0,1.0,0.0,5.0,Low/Moderate
uaqcLhhRVvt,Maridadi Dispensary,15131,,0.0,1.0,0.0,1.0,Low/Moderate
HgLP7uiWiHF,Marie Stopes Clinic (Imenti North),12471,,0.0,0.0,0.0,1.0,Low/Moderate
pDk8s6dEjVq,Marie Stopes Clinic (Kenya Kenyatta Market),16167,,0.0,0.0,0.0,1.0,Low/Moderate
jzJ2GD3Mq5s,Marie Stopes Clinic (Ongata Rongai),22082,,0.0,0.0,0.0,1.0,Low/Moderate
gfMG2L5HUVF,Marie Stopes Nursing Home (Eastleigh),13068,,0.0,0.0,0.0,1.0,Low/Moderate
MdPskPzrGGB,Marigo Dispensary,20610,,0.0,0.0,0.0,3.0,Low/Moderate
tLVjdEE6IX2,Marimanti Sub County Hospital,12795,,0.0,1.0,0.0,4.0,Low/Moderate
QCJg5rSJRPh,Marinda Dispensary,22547,Dispensary,0.0,1.0,0.0,3.0,Low/Moderate
t0xZjkBr5NR,Marindi Sub County Hospital,13777,,0.0,3.0,0.0,22.0,Severe
EzXf41XSStT,Marinyin Dispensary,15139,Disp.,0.0,0.0,0.0,1.0,Low/Moderate
LGgFPRuWpws,Mariwa Health Centre,13778,,0.0,0.0,0.0,3.0,Low/Moderate
q8zzN60wLuk,Maroba Health Centre,21449,Situated Along Gucha Misesi Road,0.0,1.0,0.0,3.0,Low/Moderate
BqM4BVER9Jp,Marps Drop In Medical Centre,18767,,0.0,0.0,0.0,9.0,High
CsSNsJ8Nzue,Marte Elepareu Dispensary,20747,,0.0,0.0,0.0,1.0,Low/Moderate
ccal2qRq8My,Marungu Health Centre,11572,,0.0,0.0,0.0,1.0,Low/Moderate
DAovPvkpsUa,Marura Nursing Home,13070,,0.0,0.0,0.0,1.0,Low/Moderate
FzCzyHnlX47,Marurui Health Centre,13071,,0.0,4.0,1.0,13.0,Very High
hMj9Y1CRfLV,Mary Help of The Sick Hospital,10698,,0.0,0.0,0.0,6.0,High
y163WNynmPf,Mary Immaculate (Ruringu),22174,,0.0,1.0,0.0,1.0,Low/Moderate
Ys64m0FQOFC,Mary Immaculate Clinic Mukuru,12982,,0.0,0.0,0.0,13.0,Very High
gQOARcEQVeO,Mary Immaculate Hospital (Nyeri North),10700,,0.0,0.0,0.0,2.0,Low/Moderate
aZUlxxTSP2m,Mary Immaculate Kerugoya Hospital,10519,,0.0,1.0,0.0,1.0,Low/Moderate
DINYe6MYMym,Mary Immaculate Sisters Dispensary,13072,,0.0,0.0,0.0,1.0,Low/Moderate
BiDkjdXE6xS,Mary Mission,17514,,0.0,0.0,0.0,11.0,High
yrcgpyWtIca,Masaantare Medical & Diagnostic Centre,27056,,0.0,0.0,0.0,2.0,Low/Moderate
KJrHBLlkXkW,Masaba Health Centre,13779,,0.0,0.0,0.0,1.0,Low/Moderate
sSoQItUt4xV,Masaba Hospital Kisumu,18414,,0.0,0.0,0.0,3.0,Low/Moderate
Kp2Kfseofdd,Masaba Sub-County  Hospital,13678,,1.0,0.0,0.0,15.0,Very High
KXFxZXyY02o,Masaita Dispensary,21604,,0.0,0.0,0.0,4.0,Low/Moderate
NDJuPQBcnp5,Masaita/ Miti-Tatu Dispensary,15149,,0.0,0.0,0.0,2.0,Low/Moderate
ltcUO2beWif,Masala Dispensary,13780,,0.0,0.0,0.0,1.0,Low/Moderate
gEEJqBQ2vqX,Maseno Mission Hospital,13781,,0.0,0.0,0.0,22.0,Severe
c3fBhfh67ij,Maseno University Health Centre,13782,,0.0,0.0,0.0,1.0,Low/Moderate
PjStrCd2jns,Mashambani Health Centre,17111,,0.0,2.0,0.0,3.0,Low/Moderate
RFhDgy6Fjq4,Mashuuru Sub County Hospital,15150,,0.0,1.0,0.0,5.0,Low/Moderate
eVIeDQ3j9kW,Masii Health Centre,12475,,0.0,1.0,0.0,7.0,High
QicfgXP0eIq,Masinga Sub County Hospital,12476,,0.0,1.0,0.0,7.0,High
w8NTKsoCH8b,Masogo Dispensary (Gem),17518,,0.0,0.0,0.0,5.0,Low/Moderate
FDrUcAP4Sn4,Masogo Sub County Hospital,13785,,0.0,3.0,0.0,20.0,Severe
hwIHYJWkZ6t,Masongaleni Health Centre,12477,,0.0,0.0,0.0,5.0,Low/Moderate
UVAVSmgmLgj,Masongo Dispensary,13786,,0.0,0.0,0.0,1.0,Low/Moderate
YCzHNKJ7FAU,Masurura Dispensary,15151,,0.0,0.0,0.0,3.0,Low/Moderate
sfbAvJY0SZo,Masyungwa Health Centre,12479,,0.0,0.0,0.0,1.0,Low/Moderate
eBEloHL6afC,Mata Dispensary (Taveta),11577,,0.0,0.0,0.0,1.0,Low/Moderate
Q65nfGHGytP,Matagatani Dispensary,23185,Near Muthitwa,0.0,1.0,0.0,1.0,Low/Moderate
ro2eMGFbUSH,Matandara Dispensary,22705,,0.0,0.0,0.0,1.0,Low/Moderate
Ox532fak7j5,Matangwe Community Health Centre,13787,,0.0,0.0,0.0,3.0,Low/Moderate
FXOdrZAa7bo,Matanya Dispensary,15152,,0.0,0.0,0.0,6.0,High
CjFtrjWKuOg,Matasia Health Centre,22612,,1.0,3.0,0.0,13.0,Very High
qXsAxUYj0Ji,Matasia Nursing Home,15153,,1.0,0.0,0.0,1.0,Low/Moderate
GSBiP2fM5zp,Matata Nursing Hospital,13789,,0.0,1.0,0.0,6.0,High
Ki3E4GNuj27,Matayos Sub County Hospital,16004,,0.0,7.0,0.0,18.0,Very High
rxOzjXrbCkg,Matete Level 4 Hospital,16005,,0.0,5.0,0.0,14.0,Very High
QyiacDkIae3,Mathare 3A (EDARP),13075,,0.0,2.0,0.0,8.0,High
Nagz0cfJyr2,Mathare Football For Hope,20096,,0.0,0.0,0.0,8.0,High
Ea0rQYGCbYx,Mathare North Hospital,13077,,0.0,8.0,0.0,20.0,Severe
bT26O2JfFSB,Mathare Police Depot,13078,,0.0,0.0,0.0,5.0,Low/Moderate
YaNze2Y77ss,Mathari Hospital,13076,,0.0,1.0,0.0,10.0,High
NhONNwKukSb,Mathigu Road Medical Clinic,18106,,0.0,0.0,0.0,1.0,Low/Moderate
lkweBoYBFex,Mathuki Health Centre,12483,,0.0,0.0,1.0,7.0,High
YdthQZVh45c,Matibabu Ukwala Clinic,17529,,0.0,5.0,0.0,9.0,High
YBUNnyEh8fI,Matiliku Sub County Hospital,12485,,0.0,0.0,0.0,6.0,High
km06lXUQMHh,Matinyani Health Centre,12486,,0.0,1.0,0.0,4.0,Low/Moderate
aldqNnKJgrg,Matioli Dispensary,16006,,0.0,1.0,0.0,1.0,Low/Moderate
SWDBkgq9Eqe,Matongo Health Centre,13791,,0.0,0.0,0.0,2.0,Low/Moderate
VdppIFvYta4,Matongo Health Centre,13790,,0.0,0.0,0.0,1.0,Low/Moderate
bi747puqsrA,Matoso Health Clinic,13793,,0.0,0.0,0.0,4.0,Low/Moderate
ttGIIqGqFOt,Matsangoni Model Health Centre,11580,,0.0,2.0,0.0,11.0,High
eJFV4QoSfJT,Matuga Dispensary,11581,,0.0,1.0,0.0,3.0,Low/Moderate
L5iJ74Rc587,Matulo Dispensary,16389,,0.0,1.0,0.0,8.0,High
tbxhIQ6JM0B,Matumbei Dispensary,22569,,0.0,0.0,0.0,1.0,Low/Moderate
ofrW88rUDJw,Matunda Sub County Hospital,16364,,0.0,5.0,0.0,20.0,Severe
iuatmqJAf90,Matunda Sub County Hospital,16008,,0.0,1.0,0.0,3.0,Low/Moderate
QKlLq6TjIbs,Matundu Dispensary,20897,,0.0,0.0,0.0,1.0,Low/Moderate
MdJ4Zb1k9o6,Matungu Sub County Hospital,16037,G.O.K,0.0,5.0,0.0,19.0,Severe
KKCH0q292Wz,Matungulu Health Centre,16439,,0.0,0.0,0.0,2.0,Low/Moderate
pvJMfkaYAoy,Matungulu Medical Centre,18292,,0.0,0.0,0.0,1.0,Low/Moderate
ilI3ROaTEuf,Maturu Dispensary,16009,,0.0,0.0,0.0,5.0,Low/Moderate
ZYwmqGDRgY5,Matuu Level 4 Hospital,12488,,0.0,1.0,0.0,26.0,Severe
evV553fu7J8,Matuu Mission Health Centre,12489,,0.0,0.0,0.0,8.0,High
FJLwPzKpxiy,Mau Narok Health Centre,15156,,1.0,2.0,0.0,17.0,Very High
IQYewgX95nr,Maua Cottage,12491,,0.0,0.0,0.0,4.0,Low/Moderate
pnELrefcHxQ,Maua Methodist Hospital,12492,,1.0,2.0,0.0,20.0,Severe
Cm3cjBE7D8g,Mauche Dispensary,15159,,0.0,0.0,0.0,2.0,Low/Moderate
OTwG6MsbpwJ,Maungu Model Health Centre,18858,Model Health Centre Near Maungu town along Mombsa  Voi high way,0.0,1.0,0.0,4.0,Low/Moderate
pnHWEUwoiUe,Maunguja Dispensary,11582,,0.0,0.0,0.0,1.0,Low/Moderate
s7kF3iHFhmi,Mautuma Sub County Hospital,16010,,0.0,0.0,0.0,2.0,Low/Moderate
My8F17h7hXs,Mavindini Health Centre,12493,,0.0,1.0,0.0,5.0,Low/Moderate
LBMVkiN6Sgm,Mavirivirini Dispensary,21834,Its located off mwanda kafunduni road next to mavirivirini polytechnic,0.0,0.0,0.0,1.0,Low/Moderate
N41yfPxtAlL,Mavivye Model Health Centre,17256,,0.0,0.0,0.0,2.0,Low/Moderate
bHv5fWNPV64,Mavoko Level 4 Hospital,11936,,0.0,9.0,0.0,26.0,Severe
IcAY6Oco0YH,Mavueni Dispensary,18482,,0.0,0.0,0.0,2.0,Low/Moderate
OSL5MaJMr1X,Mavuno Dispensary,29100,,0.0,1.0,0.0,0.0,Low/Moderate
cDWVOPhvdMX,Maweni CDF Dispensary,17233,,0.0,1.0,0.0,2.0,Low/Moderate
GSMLIGa68Lp,Maweni Community Clinic,18302,,0.0,1.0,0.0,2.0,Low/Moderate
rsdEvozVRXa,Mawepi Medical and VCT Centre,15161,,0.0,0.0,0.0,2.0,Low/Moderate
q2YkoU00i0A,Mawere Dispensary,13796,in maranda Division. Near the boarder of Siaya and Bondo,0.0,0.0,0.0,3.0,Low/Moderate
Lmx5JKQupiP,Mayanja Dispensary,16489,,0.0,2.0,0.0,13.0,Very High
JtllB0zMEYx,Mayenje Dispensary,21042,,0.0,0.0,0.0,1.0,Low/Moderate
xGjBNHxGFlj,Mayuge Dispensary,23136,Level 2 facility,0.0,1.0,0.0,0.0,Low/Moderate
pnHduTXb4hB,Mazeras Health centre,11585,,0.0,0.0,0.0,1.0,Low/Moderate
HG5fUsbdzk6,Mbaga Health Centre,13797,,0.0,0.0,0.0,11.0,High
ByiHGSgYyaR,Mbagara Dispensary,16011,,0.0,1.0,0.0,3.0,Low/Moderate
mu9d9jNXA6Y,Mbagathi County Referral Hospital,13080,,2.0,2.0,1.0,57.0,Critical
mrAt9Y3nTvD,Mbaka Oromo Health Centre,20199,,0.0,0.0,0.0,1.0,Low/Moderate
DbCCiO4AXdh,Mbale Rural Health Training Centre,16012,SITUATED OPPOSITE MUNG'OMA CHEMIST,0.0,2.0,0.0,13.0,Very High
Kr5Vxuz1yLl,Mbeere Sub-County Hospital,16467,Public Hospital situated in Siakago Town,0.0,1.0,1.0,11.0,High
LNxAuLQveoD,Mbenuu H Centre,12499,,0.0,0.0,0.0,1.0,Low/Moderate
wXwH1HE5zBG,Mbita Dispensary,21258,Along mbita nyango road,0.0,0.0,0.0,1.0,Low/Moderate
Q0WwPORvQYR,Mbitini Catholic Dispensary,12502,,0.0,0.0,0.0,2.0,Low/Moderate
x8kNXLmgEDu,Mbitini Health Centre,12521,,0.0,0.0,1.0,7.0,High
V0TLwliVcEl,Mbiuni Health Centre,12503,,0.0,2.0,0.0,6.0,High
Yq3aTkXLPJu,Mbogo Valley Dispensary,15164,Dispensary,0.0,0.0,0.0,1.0,Low/Moderate
VAKx1xMbqMb,Mbogoini Dispensary,22930,Dispensary,0.0,0.0,0.0,1.0,Low/Moderate
UiuRqwz4EGL,Mbogoini Health Centre,15165,,0.0,0.0,0.0,1.0,Low/Moderate
Pf6O7e2obMA,Mbondoni Dispensary,12505,,0.0,0.0,0.0,1.0,Low/Moderate
CQHJigpFnWc,Mbondoni Health Centre,16246,,0.0,1.0,0.0,1.0,Low/Moderate
pCUabLDKcQM,Mbooni Sub County Hospital,12508,,0.0,2.0,0.0,18.0,Very High
O0RZADYsZKW,Mbudzi Community Health Centre,25626,,0.0,3.0,0.0,3.0,Low/Moderate
hJ2Hv8MfMKI,Mbungoni Catholic Dispensary (CBHC),18043,,0.0,0.0,0.0,20.0,Severe
DkqZGBy1IPy,Mbuta Model Health Centre,11592,,0.0,0.0,0.0,5.0,Low/Moderate
geOkVvPwlny,Mbuvo Health Centre,20271,,0.0,0.0,0.0,1.0,Low/Moderate
Mt0t1FQrKV9,Mbwaleni Dispensary,23126,,0.0,0.0,0.0,1.0,Low/Moderate
r003lM7ULWV,Mecheo Dispensary,13800,,0.0,0.0,0.0,4.0,Low/Moderate
C5PLq7spOnB,Mechimeru Model Health Center,16014,,3.0,3.0,0.0,11.0,High
WNMTHpw5zHA,Med 25 International Kenya,17690,,0.0,0.0,0.0,4.0,Low/Moderate
rxESvHl3vVu,Medical Link Integrated Health Program,19493,,0.0,0.0,0.0,1.0,Low/Moderate
Gf4lXuOjUun,Medicare Health Satellite,22141,Clinic,0.0,0.0,0.0,1.0,Low/Moderate
rg2QChGLA4d,Medicatia Hospital,18784,,0.0,0.0,0.0,2.0,Low/Moderate
gpfyXA44VzU,Medication Therapy Management Ltd MC,23642,Medical Clinic,0.0,0.0,0.0,1.0,Low/Moderate
Gv6OwZSA8YB,Medipoint Clinic,13085,,0.0,0.0,0.0,2.0,Low/Moderate
pVKvt7k2Ezl,Medisprings Medical Centre,23338,,0.0,0.0,0.0,1.0,Low/Moderate
fnSmzhWgG4D,Medistar Hospital Kericho Limited,14834,,0.0,1.0,0.0,1.0,Low/Moderate
bUT1BUFie4h,Mediwell Healthcare,26066,,0.0,0.0,0.0,5.0,Low/Moderate
dcHigAaknnI,Medwin Medical Centre,23370,,0.0,0.0,0.0,2.0,Low/Moderate
O8JiuIlnJqW,Melchezedek Hospital,13086,,0.0,1.0,0.0,3.0,Low/Moderate
gH2xbv4PEuL,Melkasons Clinic,18290,,0.0,0.0,0.0,2.0,Low/Moderate
GqV92emjJFN,Menengai Crater Dispensary,18688,,0.0,0.0,0.0,2.0,Low/Moderate
iuldhpF2IHo,Menengai Dispensary,20138,,0.0,1.0,0.0,8.0,High
jANQ3KJg3zK,Mephi Medical Clinic,19019,,0.0,3.0,0.0,1.0,Low/Moderate
mLeZs2UQqxN,Mercal Healthcare Bukembe,17500,,0.0,0.0,0.0,1.0,Low/Moderate
B8SmKVbMgPs,Mercillin Afya Centre,13088,,0.0,0.0,0.0,1.0,Low/Moderate
AXLt3hqpqDa,Mercy Mission Health Centre,13089,,0.0,0.0,0.0,3.0,Low/Moderate
vp0qwrZfnXZ,MercyBeceja Medical Centre,19179,,0.0,0.0,0.0,2.0,Low/Moderate
tjpnC8SWMVU,Mercylite Medical Clinic- Ruiru,27401,,1.0,1.0,0.0,0.0,Low/Moderate
D1sJppq7GNI,Meridian Equator Hospital,13109,,0.0,0.0,0.0,3.0,Low/Moderate
K6aZavAsVgS,Meridian Hospital,11381,,0.0,0.0,0.0,1.0,Low/Moderate
IDIznOCTMKr,Meridian Medical Centre (Kileleshwa),19546,,0.0,0.0,0.0,1.0,Low/Moderate
aL5ylUzJokH,Merigi Health Centre,15178,,0.0,2.0,0.0,3.0,Low/Moderate
UNWE8sXbjqD,Merto Dispensary,15179,,0.0,0.0,0.0,1.0,Low/Moderate
jy9XzBfmPgT,Meru GK Prison Dispensary,12049,,0.0,0.0,0.0,5.0,Low/Moderate
ZfMkuuqM2an,Meru Jordan Hospital Ltd,22143,Off Meru Nanyuki raod,0.0,0.0,0.0,2.0,Low/Moderate
uwvOG2N2Cmt,Meru Teaching And Referral Hospital,12516,,0.0,1.0,0.0,27.0,Severe
KK1WcZXESxW,Metaburo Health Centre,13802,,0.0,0.0,0.0,1.0,Low/Moderate
h3ZRAclZqK8,Meteitei Sub-District Hospital,15181,Sub-County Hospital,0.0,1.0,0.0,5.0,Low/Moderate
NllZFLIZezD,Meto Dispensary,15182,,0.0,0.0,0.0,6.0,High
Hu1BwBlNLr6,Metropolitan Hospital Nairobi,13090,,0.0,1.0,0.0,5.0,Low/Moderate
LLxCRZG7BNQ,Mewa Drop In Centre Mtwapa,25494,,0.0,0.0,0.0,2.0,Low/Moderate
JxC1X6hXVU8,Mewa Health and Drug Treatment Centre,30435,,0.0,0.0,0.0,1.0,Low/Moderate
r1TbCZwi10y,Mewa Hospital,11600,,0.0,0.0,0.0,2.0,Low/Moderate
iZg0Knh5nhS,Mgange Dawida Dispensary,11602,,0.0,0.0,0.0,1.0,Low/Moderate
J2Twz5u5b4j,Mgange Nyika Health Centre,11603,,0.0,0.0,0.0,1.0,Low/Moderate
ZSphtl0DYFq,Miambani Health Centre,12519,,0.0,1.0,0.0,1.0,Low/Moderate
bTMaWzOeSk3,Miangeni Dispensary (Makueni),16972,,0.0,0.0,0.0,2.0,Low/Moderate
pP9chFqKMHb,Miathene District Hospital,16234,,0.0,0.0,0.0,5.0,Low/Moderate
UlOy160zonh,Midida Dispensary,17342,,0.0,0.0,0.0,1.0,Low/Moderate
qMNc3YVyu0P,Midoina Dispensary,11609,,0.0,0.0,0.0,1.0,Low/Moderate
q3Hiw70svzH,Midoti Dispensary,13804,situated in Suba East Division and its  a GOK Facility,0.0,1.0,0.0,10.0,High
yqVCQqifDtt,Miendo Dispensary,16015,,0.0,0.0,0.0,3.0,Low/Moderate
dOTpdQwrYeN,Migori County Referral Hospital,13805,Situated in Suba Central and its a GOK Facilily,1.0,5.0,0.0,48.0,Critical
xYVh11058m8,Migori GK Prison Dispensary,17728,Situated in Suba Central and its a GOK Facilily,0.0,0.0,0.0,10.0,High
YRyV4nAX5YF,Migori Health Station Medical Clinic,17737,Situated in Suba Central and a private clinic.,0.0,0.0,0.0,2.0,Low/Moderate
zZdbrp6Tyiv,Migosi Sub County Hospital,13807,Facility upgraded from Health Center to Sub County Hospital,0.0,5.0,1.0,19.0,Severe
Mi0pnaEXWh2,Migwani Sub County Hospital,12523,,0.0,1.0,0.0,10.0,High
AgXw85ObcL2,Mihang'o Community Health Centre,23373,,0.0,3.0,0.0,7.0,High
Ght4C4o0gse,Mijomboni Dispensary,11610,,0.0,2.0,0.0,5.0,Low/Moderate
Zbiixb1PWrk,Mikindani (MCM) Dispensary,11613,,0.0,0.0,0.0,11.0,High
FdzyWE8bSST,Mikindani Catholic Dispensary,11614,,0.0,0.0,0.0,13.0,Very High
IT9A0y0Fhnm,Mikindani Hospital,26142,,0.0,1.0,0.0,4.0,Low/Moderate
vGh67T1wnv9,Mikindani Medical Clinic,11615,,0.0,0.0,0.0,14.0,Very High
rZ0TTYsqvX4,Mikinduri Health Centre,12524,,0.0,0.0,0.0,2.0,Low/Moderate
jobx0qAOpoC,Mikinduri Sub-District Hospial,12525,,0.0,2.0,0.0,5.0,Low/Moderate
Mc7rOQNXQDB,Mikulinzi Nursing Home,21885,near Chiefs camp mwolem ward,0.0,0.0,0.0,2.0,Low/Moderate
fkW2AtRyW2I,Mikumbune Sub-District Hospital,12526,,0.0,0.0,0.0,2.0,Low/Moderate
QOKaVUPEWEt,Mile 46 Health Centre,15185,,0.0,0.0,0.0,8.0,High
PkluJozhxUq,Milele Medical Clinic,20018,,0.0,0.0,0.0,1.0,Low/Moderate
jqhdt0LKOF6,Milimani Dispensary,22551,,0.0,1.0,0.0,0.0,Low/Moderate
kPQ0eHv8sXA,Milo Health Centre,16018,,0.0,1.0,0.0,5.0,Low/Moderate
Myq1ZTOEgEg,Miluki Dispensary,16019,,0.0,0.0,0.0,2.0,Low/Moderate
PIXoJMTOosr,Mindhine Dispensary,13803,,0.0,0.0,0.0,3.0,Low/Moderate
FgzUi1FvxhW,Mindira Hospital Isibania,22883,,0.0,0.0,0.0,1.0,Low/Moderate
bMTnmUmmVzc,Miniambo Health Centre,16766,,0.0,2.0,0.0,12.0,Very High
FyAFoMJe2KZ,Minto Family Healthcare Services,27806,,0.0,0.0,0.0,1.0,Low/Moderate
RuVa3z3qxpv,Minyenya Health Centre,13809,,0.0,1.0,0.0,3.0,Low/Moderate
ibwx3O2yztO,Miranga Sub County Hospital,13810,,0.0,3.0,0.0,8.0,High
ClfJQm3Docv,Mirangine Health Centre,10732,,0.0,1.0,0.0,1.0,Low/Moderate
wTvF9os0GY9,Mirere Health Centre,17931,,0.0,3.0,0.0,5.0,Low/Moderate
qavGVyGtzJd,Mirihini Dispensary,11618,,0.0,1.0,0.0,1.0,Low/Moderate
WF04P1pRp2f,Miritini CDF Health Centre,11620,,0.0,1.0,0.0,5.0,Low/Moderate
DJbGPQhE93o,Miriu Health Centre,13812,,0.0,0.0,0.0,10.0,High
FL59pgqDXol,Mirogi Health Centre,13813,,0.0,2.0,0.0,7.0,High
h01C8P5M7cJ,Mirugi Kariuki Sub County Hospital,15188,,0.0,0.0,0.0,7.0,High
MqTbpO3e1hW,Misanga Dispensary,24004,,0.0,1.0,0.0,1.0,Low/Moderate
YT96nW0zOiS,Misemwa Dispensary,26909,,0.0,0.0,0.0,2.0,Low/Moderate
ttjlT9tfGCj,Misori Dispensary,13815,,0.0,1.0,0.0,9.0,High
pd8QWEyzxge,Mission Care Nursing Home,23482,,1.0,0.0,0.0,8.0,High
u4oYyK5yC2Y,Mission of Mercy Clinic,16020,,1.0,3.0,0.0,8.0,High
WK5p6zkEhfX,Mitaboni Health Centre,12530,,0.0,1.0,0.0,9.0,High
WSmI7U4BPLQ,Mitambo Dispensary,22341,,0.0,1.0,0.0,1.0,Low/Moderate
KP58I6j0B7U,Mithikwani Dispensary,20032,open,0.0,1.0,0.0,1.0,Low/Moderate
MtTTYN36PIJ,Miti-Mingi Dispensary,15190,,0.0,1.0,0.0,3.0,Low/Moderate
yziyz0xzElK,Mitubiri Health Centre,10733,,0.0,0.0,0.0,5.0,Low/Moderate
I4rhKKyqMjo,Mitume Dispensary,18752,,0.0,2.0,0.0,6.0,High
olWgUsoEXF9,Mitunguu CCS Dispensary,12533,,0.0,0.0,0.0,2.0,Low/Moderate
DRRmd0KhJ7U,Mitunguu Health Centre,12534,,0.0,0.0,0.0,5.0,Low/Moderate
Q7lvZqAW3Kn,Mituntu Health Centre,12536,,0.0,0.0,0.0,2.0,Low/Moderate
s0KfIcXWa0t,Miu Health Centre,12537,,0.0,0.0,0.0,2.0,Low/Moderate
SmwH1kSTv25,Mivukoni Health Centre,12539,,0.0,0.0,0.0,1.0,Low/Moderate
Z5NeINoTgxS,Miwani Health Centre,13816,,0.0,0.0,0.0,2.0,Low/Moderate
bXF0VY9kv3l,Mjanaheri Dispensary,21213,New Facility,0.0,0.0,0.0,1.0,Low/Moderate
zyuBBJsgA3V,Mji Wa Huruma Dispensary,13093,Located in Runda,0.0,0.0,0.0,2.0,Low/Moderate
THNDq8DTAhT,Mkongani Health Centre,11629,,0.0,0.0,0.0,5.0,Low/Moderate
ymyXICc8qiI,Mku Dispensary,,,0.0,0.0,0.0,1.0,Low/Moderate
