organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category
wLm7XgmJoKw,Baraka Hospital,17757,,0.0,0.0,0.0,2.0,Low/Moderate
d8KDRlVNVFA,Barakani Community Healthcare,16532,,0.0,0.0,0.0,1.0,Low/Moderate
dHfz2Btkj1g,Barani Dispensary,29476,,0.0,0.0,0.0,5.0,Low/Moderate
jetCZf5Uzd1,Barding Dispensary,18396,,0.0,0.0,0.0,2.0,Low/Moderate
qtU8tJxdRSU,Bargain Medical Clinic,18381,,0.0,0.0,0.0,1.0,Low/Moderate
OGia3FphS8p,Baricho Dispensary,11248,,0.0,0.0,0.0,1.0,Low/Moderate
yQujnfNnzQJ,Baricho Subcounty Hospital,10049,,0.0,0.0,0.0,2.0,Low/Moderate
NcCkDlIqJuM,Baringo County Referral Hospital,14607,,0.0,1.0,0.0,8.0,High
Vs8n6qr7VSP,Barkorumba Health Centre,25956,,0.0,0.0,0.0,1.0,Low/Moderate
KpP492AtgPu,Barsheba Medical Clinic,18071,,0.0,0.0,0.0,1.0,Low/Moderate
icSyYdS2PaS,Barut Dispensary,17793,,0.0,0.0,0.0,39.0,Severe
I8xFBVGqqHf,Barut Medical clinic,21142,,0.0,0.0,0.0,2.0,Low/Moderate
CbujJS1UPZj,Bashan Medical Centre,29699,,0.0,0.0,0.0,1.0,Low/Moderate
lnFZf9dVTe9,Bay Leaf Medical Clinic,20382,,0.0,0.0,0.0,1.0,Low/Moderate
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),16667,,0.0,0.0,0.0,28.0,Severe
yUIJu0YzY70,Belgut Dispensary,17085,,0.0,0.0,1.0,0.0,Low/Moderate
fCLmgx815vO,Bellevue Health Centre,10055,,0.0,0.0,0.0,1.0,Low/Moderate
YjzBFHmaVTv,Benga Dispensary,16786,,0.0,0.0,0.0,1.0,Low/Moderate
nUv7TS3z7kp,Benmac Clinic,14247,,0.0,1.0,0.0,1.0,Low/Moderate
m1CfptepCVX,Bennedict XVI Hospital,10056,,1.0,0.0,0.0,5.0,Low/Moderate
wF4m03C8BPG,Beril's GWP Medical centre,26205,,0.0,0.0,0.0,3.0,Low/Moderate
uWZStRB5zxs,Bethany Dispensary,23695,FBO Facility,0.0,0.0,0.0,3.0,Low/Moderate
CS8aFEi7mCs,Bethesda Nursing Home(Naivasha),22917,Nursing Home,0.0,0.0,0.0,3.0,Low/Moderate
wjbD0Xdhq5q,Beyond Scope Hospital,25717,,0.0,0.0,0.0,1.0,Low/Moderate
lVLswpJFajQ,Beyond Zero Mobile Clinic Endebess,23557,,0.0,1.0,0.0,2.0,Low/Moderate
QdXBJMDuLh5,BHESP MOWLEM DICE CLINIC,22863,,0.0,0.0,0.0,43.0,Critical
PaKMtCzMDnk,Biafra Lions Dispensary,12883,,0.0,0.0,0.0,7.0,High
d2rzxeVcRN1,Biafra Medical Clinic,12884,,0.0,0.0,0.0,1.0,Low/Moderate
vUIa955kXzn,Bidii Health Centre,18532,A newly constructed facility,0.0,0.0,1.0,6.0,High
yk52nyJ5L27,Bikeke Health Centre,16361,,0.0,3.0,0.0,6.0,High
jk4O2UhUcOy,Biketi Dispensary,22545,Dispensary,0.0,0.0,0.0,1.0,Low/Moderate
wPoz7tDb3nG,Bilashaka Dispensary,23129,Near bilashaka primary,0.0,0.0,0.0,1.0,Low/Moderate
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,11955,,0.0,0.0,0.0,12.0,Very High
pDCYtQMYzkW,Bissil Health Centre,14259,,0.0,6.0,0.0,18.0,Very High
gW3n6Bb4Mby,Bisunu Dispensary,23587,,0.0,0.0,0.0,1.0,Low/Moderate
aZCS6UZRpdL,Bitare Dispensary,13502,,0.0,2.0,0.0,5.0,Low/Moderate
sR8XmNVe3sG,Bliss GVS Health Care (Teleposta Clinic),23360,,0.0,0.0,0.0,1.0,Low/Moderate
oqNMRWw8Aby,BLISS GVS Health Care Limited (Murang'a),23801,,0.0,0.0,0.0,1.0,Low/Moderate
KqyJUhSG2jJ,Bloom Hospital Nakuru LTD,31240,,0.0,0.0,0.0,18.0,Very High
Jzb6ev63ccp,Blue House (AHF) Dispensary,12885,,0.0,1.0,0.0,17.0,Very High
ZPYdnLyhRQf,Blue Nile Medical Clinic,19016,,0.0,0.0,0.0,1.0,Low/Moderate
NjwY5R85aDB,Bobaracho Dispensary,20936,,0.0,0.0,0.0,3.0,Low/Moderate
F3iyXRgcsHl,Bodaki Medical Clinic,18805,Medical Clinic,0.0,1.0,0.0,3.0,Low/Moderate
gYaEWAxDwbL,Bodi Health Centre,13503,,0.0,1.0,0.0,2.0,Low/Moderate
JYeGYYpvgR0,Boensummit medical clinic,24855,,1.0,0.0,0.0,7.0,High
xkktH1TfvFt,Boige Health Centre,13505,,0.0,0.0,0.0,1.0,Low/Moderate
dZ06ZU1Ls42,Bokimai Dispensary,16974,,0.0,0.0,0.0,3.0,Low/Moderate
a6KR1c7QXeL,Bokole CDF Dispensary,11254,,0.0,1.0,0.0,10.0,High
L7s7lF6nv95,Bokoli  Sub-County Hospital,15808,,0.0,4.0,0.0,8.0,High
kh69W34qkjJ,Boma La Tumaini VCT,14260,,0.0,0.0,0.0,2.0,Low/Moderate
w84mh8esInK,Bomani Dispensary,11255,,0.0,4.0,0.0,7.0,High
J92hsLeBV21,Bomet Health Centre,14261,,0.0,5.0,0.0,15.0,Very High
V0KORzfRrmj,Bomu Medical Center -Old Town,27408,,0.0,1.0,0.0,6.0,High
OtnHULC4QwB,Bomu Medical Centre (Likoni),11259,,0.0,0.0,0.0,17.0,Very High
w5udNAfZvrb,Bomu Medical Centre (Mariakani),18267,,0.0,0.0,0.0,7.0,High
BsbMOs77eO2,Bomu Medical Hospital (Changamwe),11258,,0.0,2.0,1.0,31.0,Severe
k2bd5BmXP2t,Bonde Dispensary,13506,,0.0,0.0,0.0,7.0,High
vPGUu3uwSan,Bondeni Dispensary (Nakuru Central),14263,,0.0,4.0,0.0,15.0,Very High
kF4aaglTa6T,Bondeni Health Centre (Trans Nzoia - Saboti),14264,,0.0,1.0,0.0,5.0,Low/Moderate
BxIp7V5DU9D,Bondeni Sub County Hospital,14265,,0.0,0.0,0.0,9.0,High
Z6fKUbscAbZ,Bondo County Referral Hospital,13507,level 4 facility in Maranda division. Is the Sub County reffaral Hospital,0.0,13.0,0.0,35.0,Severe
TRiVDQSVF92,Bondo Dispensary,21193,,0.0,3.0,0.0,9.0,High
x6bSboDXpcN,Bongu Konyango Dispensary,22192,Located in west katieno sublocation kogundo village about 4km from Bar korwa market.,0.0,2.0,0.0,3.0,Low/Moderate
VQmTtMzsPbf,Boore Clinic,10074,,0.0,0.0,0.0,1.0,Low/Moderate
bsMADcRqCTg,Borangi Health Centre,13511,,0.0,0.0,0.0,1.0,Low/Moderate
I28fQeEU1Av,Border Medical Care,14268,,0.0,0.0,0.0,2.0,Low/Moderate
IRn95hBIVNP,Bore Imani Dispensary,24120,Dispensary,0.0,0.0,0.0,1.0,Low/Moderate
wJozP0NTKIa,Borimagongo Dispensary,25137,,0.0,0.0,0.0,1.0,Low/Moderate
xHviPII2Tc3,Boro Dispensary,13513,,0.0,0.0,0.0,7.0,High
mZ5dBUXvXqh,Bosiango Health Centre,13514,,0.0,1.0,0.0,1.0,Low/Moderate
yP0DK96nb8x,Bosnia Dispensary,23019,,0.0,0.0,0.0,2.0,Low/Moderate
BqUnGQlOdeK,Bosongo Hospital,13515,,0.0,1.0,0.0,2.0,Low/Moderate
Yk6aPsR7nng,Boyani Dispensary,15809,,0.0,0.0,0.0,1.0,Low/Moderate
nsF2xje8PQl,Bridging Out-Patient,19405,"Thika road off kamiti road , kahawa west market opp",0.0,0.0,0.0,1.0,Low/Moderate
mctIHG8Cpq5,Brimaxa Hospital Limited,30736,,0.0,0.0,0.0,13.0,Very High
ypIztvPg8bq,Bristal Park Hospital,18271,,0.0,0.0,0.0,1.0,Low/Moderate
Hnj1bkmmDRc,Brivan Hospital,31593,,0.0,0.0,0.0,1.0,Low/Moderate
SvaPz4Uj4DE,Brook of Cherith Medical and Nutrition Centre,26703,,0.0,0.0,0.0,2.0,Low/Moderate
X43Tf1LIRXh,Brother Andre Medial Centre,12887,,0.0,0.0,0.0,2.0,Low/Moderate
dOLz6UrYS9o,Browns Memorial Medical Centre,18750,,0.0,2.0,0.0,2.0,Low/Moderate
WYaAkILOP16,Buchangu Dispensary,15810,Dispensary,0.0,0.0,0.0,1.0,Low/Moderate
Y1wbtycY0V8,Budalangi Dispensary,15811,,0.0,0.0,0.0,4.0,Low/Moderate
wPsUQXK6ynT,Buduta Dispensary,15813,,0.0,0.0,0.0,4.0,Low/Moderate
LFwsHgAoh20,Bugamangi Dispensary,15814,off vihiga police-magui road,0.0,0.0,0.0,3.0,Low/Moderate
gkvsBoZvbH1,Bugina Health Centre,15815,,0.0,0.0,0.0,5.0,Low/Moderate
OQUMus9IsA1,Bugumbe Health Centre,13517,,0.0,3.0,0.0,11.0,High
Qwv7vHBFvMl,Bukalama Dispensary,17156,,0.0,0.0,0.0,4.0,Low/Moderate
ndBnE6yUjoy,Bukaya Health Centre,15817,,0.0,0.0,0.0,3.0,Low/Moderate
lSB8vsporuH,Bukembe Dispensary,15819,,0.0,2.0,0.0,9.0,High
ZmTIzgrOjed,Bukhalalire Dispensary,17158,,0.0,0.0,0.0,2.0,Low/Moderate
IyKvH0rBqjM,Bukokholo Dispensary,22500,Dispensary,0.0,1.0,0.0,1.0,Low/Moderate
wcM6pww7h2a,Bukura Health Centre,15820,,0.0,3.0,0.0,10.0,High
VIFQ1jyMX4e,Bulondo Dispensary,15821,,0.0,1.0,0.0,1.0,Low/Moderate
xc5Gf81YH48,Bululwe Dispensary,25831,,0.0,1.0,0.0,1.0,Low/Moderate
aMTxgqDmizK,Bumala A Health Centre,15823,,0.0,4.0,0.0,14.0,Very High
nuEpF1eboYN,Bumala B Sub County Hospital,15824,,0.0,1.0,0.0,6.0,High
Gci6fQrejup,Bumula Sub County Hospital,15825,,1.0,1.0,0.0,13.0,Very High
mSjyGBo4Rqu,Bumutiru Dispensary,15826,,0.0,1.0,0.0,2.0,Low/Moderate
OaksTvWzoaf,Bunde Health Centre,13518,Dispensary,0.0,0.0,0.0,3.0,Low/Moderate
wXYxrsjOc8d,Bungasi Health Centre,15827,,0.0,2.0,0.0,6.0,High
WDJtmgLjGD8,Bungoma County Referral Hospital,15828,,0.0,9.0,0.0,70.0,Critical
goqUQl5fWIF,Bungoma West Medical Services,20323,,0.0,0.0,0.0,3.0,Low/Moderate
ysygmWJdzuU,Bura District Hospital,13339,,0.0,1.0,0.0,0.0,Low/Moderate
pnyCZ07HZhN,Bura Health Centre (Taita Taveta),11263,,0.0,1.0,0.0,4.0,Low/Moderate
yBe7688zcRt,Bura Mission Clinic,11265,,0.0,0.0,0.0,5.0,Low/Moderate
SWfFxTZ0VGG,Bura Subcounty Hospital,11264,,0.0,1.0,0.0,2.0,Low/Moderate
d86OiRCX1px,Burguret Dispensary,10076,,0.0,0.0,0.0,1.0,Low/Moderate
bmKQdaXNX9E,Burinda Dispensary,15830,,0.0,1.0,0.0,2.0,Low/Moderate
d23vOh36Pqw,Burumba Dispensary,21041,,0.0,1.0,0.0,2.0,Low/Moderate
vxKshylcIW5,Busagwa Dispensary,21037,,0.0,0.0,0.0,1.0,Low/Moderate
ih3vU3AXadk,Busembe Dispensary,15831,,0.0,1.0,0.0,2.0,Low/Moderate
dI28kasf8Jj,Bushiri Health Centre,15833,health centre,0.0,4.0,0.0,10.0,High
XsRFIn0FhzA,Busia County Referral Hospital,15834,,0.0,12.0,0.0,68.0,Critical
KhOjFDcfVKc,Busia Trailer Park Clinic,18126,,0.0,0.0,0.0,3.0,Low/Moderate
rd0gE7FLPsv,Busibwabo Health Centre,15835,,0.0,1.0,0.0,7.0,High
bpHMT3MOjaO,Bute Sub county Hospital,13314,,0.0,0.0,0.0,2.0,Low/Moderate
OVV0fHS7fux,Butere Sub County Hospital,15836,,0.0,4.0,0.0,19.0,Severe
YejIqzsdjR2,Butiik Dispensary,14276,,0.0,1.0,0.0,1.0,Low/Moderate
Tns72Eh3EfT,Butingo Dispensary,20043,,0.0,1.0,0.0,2.0,Low/Moderate
yFrzItHccVH,Butula Mission Health Centre,15838,,0.0,0.0,0.0,5.0,Low/Moderate
Nn4W2J9Csim,Buyangu Health Centre,15839,,0.0,0.0,0.0,4.0,Low/Moderate
O9z0alrbAid,Buyemi Dispensary(Ikolomani),22544,,0.0,1.0,0.0,2.0,Low/Moderate
iuJyZVwqpbD,Buyingi Dispensary,29325,,0.0,1.0,0.0,1.0,Low/Moderate
