organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
VIFQ1jyMX4e,Bulondo Dispensary,15821.0,,,2.0,,2.0,
aMTxgqDmizK,Bumala A Health Centre,15823.0,,,21.0,4.0,25.0,
nuEpF1eboYN,Bumala B Sub County Hospital,15824.0,,,8.0,2.0,10.0,
Gci6fQrejup,Bumula Sub County Hospital,15825.0,,1.0,3.0,1.0,5.0,20.0
mSjyGBo4Rqu,Bumutiru Dispensary,15826.0,,,2.0,,2.0,
OaksTvWzoaf,Bunde Health Centre,13518.0,Dispensary,,9.0,,9.0,
wXYxrsjOc8d,Bungasi Health Centre,15827.0,,,3.0,2.0,5.0,
WDJtmgLjGD8,Bungoma County Referral Hospital,15828.0,,,25.0,13.0,38.0,
SWfFxTZ0VGG,Bura Subcounty Hospital,11264.0,,,4.0,,4.0,
g73LYiD5P06,Burnt Forest Sub County Hospital,16347.0,,,3.0,,5.0,
d23vOh36Pqw,Burumba Dispensary,21041.0,,,2.0,,2.0,
vxKshylcIW5,Busagwa Dispensary,21037.0,,,2.0,,2.0,
ih3vU3AXadk,Busembe Dispensary,15831.0,,,1.0,,1.0,
dI28kasf8Jj,Bushiri Health Centre,15833.0,health centre,,1.0,2.0,3.0,
XsRFIn0FhzA,Busia County Referral Hospital,15834.0,,,32.0,4.0,36.0,
OVV0fHS7fux,Butere Sub County Hospital,15836.0,,,10.0,7.0,17.0,
Tns72Eh3EfT,Butingo Dispensary,20043.0,,,1.0,,1.0,
yFrzItHccVH,Butula Mission Health Centre,15838.0,,,6.0,,6.0,
wd25QXppWr2,Bware Health Center,13519.0,,,2.0,,,
Ch9QLIX4Lv4,Cana Family Life Clinic,12889.0,,,2.0,,2.0,
T5sPlPfblxx,Cardinal Otunga Health Centre,10019.0,Faith based organization,,,2.0,2.0,
HOvK1bxRsNF,Catholic Hospital Wamba,15769.0,,1.0,1.0,,2.0,50.0
tvYS6hl4l6l,Cdc Ganjoni Dispensary,11273.0,,,3.0,2.0,5.0,
ZeHU0vtmrVW,Chaani Catholic Dispensary,23285.0,,,3.0,,3.0,
RUBAdXhzucO,Chamuka Dispensary,18782.0,,,4.0,,4.0,
CckiDj0RzXx,Chandaria Health Centre,12893.0,,,2.0,,2.0,
oGBXTwGNwBb,Chasimba Health Centre,11282.0,,,2.0,,2.0,
Va4NxnOtD4e,Chebangang Health Centre,14289.0,,,2.0,,2.0,
OpoaPaPsSWF,Chebororwa Health Centre,14301.0,,,2.0,,2.0,
E30aVzHdBRU,Chebunyo Dispensary,14304.0,,,,1.0,1.0,
JTL8OVhlUqF,Chebwai Mission Dispensary,15849.0,,,1.0,,1.0,
Ci1bld843vy,Chekalini Health Centre,15851.0,,,4.0,,4.0,
vVYa9Lb6bZ5,Chemelil Health Centre (Muhoroni),13521.0,,,5.0,6.0,11.0,
PeEVPAKDbaC,Chemelil Sugar Health Centre,13522.0,,,1.0,,2.0,
hqPkw34FUAM,Chemosot Health Centre,14323.0,,,3.0,,3.0,
